"Corpus";"Corpus_URL";"Language";"Size";"Annotation";"Licence";"Licence_URL";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Adamorobe Sign Language Corpus";"https://hdl.handle.net/1839/00-0000-0000-0016-3693-A";"Adamorobe Sign Language";"90 MPG1 and 90 MPEG2 clips";"EAF transcripts";"Restricted";;"The Adamorobe Sign Language Corpus contains almost 36 hours of videorecordings of Adamorobe Sign Language, filmed in Adamorobe in Ghana between 2000 and 2004 by Victoria Nyst. The deposit contains recordings of approximately 20 signers. The 39 original tapes were digitized, cut, compressed and converted into MPG1 and MPEG2 digital clips using the standard settings of the MPI in Nijmegen. The total number of clips is 90 MPG1 and 90 MPEG2. There are 27 complete synchronized Elan-transcriptions in English and in Twi, which is the Akwapim variety of Akan, the spoken language in Adamorobe. The recordings include spontaneous narratives, personal stories and stories about the history of Adamorobe, elicited data, retellings of cartoons and picture stories.";"Sign language resources";"Download";"https://archive.mpi.nl/islandora/object/tla%3A1839_00_0000_0000_0016_3693_A#";;;
"Balinese Homesign Corpus";"https://hdl.handle.net/1839/3d12f73f-e395-42da-a84c-f4ae5d9eb7b0";"Balinese";;;;;"The collection includes sign language data from deaf homesigners in Bali, Indonesia. The data was collected between 2021 and 2023.#SEPThe collection is available for download from the Language Archive.";"Sign language resources";"Download";"https://hdl.handle.net/1839/3d12f73f-e395-42da-a84c-f4ae5d9eb7b0";;;
"Sign-Hub WP2.4: Life Stories";"https://hdl.handle.net/11403/sign-hub-wp-24/v1";"Catalan Sign Language (LSC), German Sign Language (DGS), Italian Sign Language (LIS), Dutch Sign Language (NGT), Spanish Sign Language (LSE), and Turkish Sign Language (TİD). ";"200 hours";"not annotated yet";"CLARIN PUB";;"This is a collection of datasets connected to the <a href=""https://cordis.europa.eu/project/id/693349"">Sign-Hub</a> project. The corpus contains interviews conducted with elderly Deaf signers from five countries on their life experiences as well as a documentary movie based on these interviews. These interviews were conducted in five of the participating countries of the SIGN-HUB project and in six different sign languages: Catalan Sign Language (LSC), German Sign Language (DGS), Italian Sign Language (LIS), Sign Language of the Netherlands (NGT), Spanish Sign Language (LSE), and Turkish Sign Language (TİD).  In each country, interviews have been conducted in different geographical areas. The exact number of interviews differs per sign language, but for every sign language, at least 20 interviews have been conducted, with interviewees being between 66 and 97 years of age. Interviews followed a pre-defined questionnaire; however, the addition of country-specific questions was encouraged.#SEPThis collection is available for download from the Ortolang repository.";"Sign language resources";"Download";"https://hdl.handle.net/11403/sign-hub-wp-24/v1";"Pfau et al. (2021)";"https://doi.org/10.1515/9783110701906";
"Dogon Sign Language Corpus";"https://hdl.handle.net/1839/00-0000-0000-0016-2E9E-4";"Dogon Sign Language";"341 clips in MPG1 and MPG2 format";"EAF transcripts";"Restricted";;"The Dogon Sign Language Corpus contains 32 hours of video data, recorded in the Dogon area in Mali between 2010 and 2012. These recordings are cut into 341 shorter clips varying lengths, in MPG1 and MPG2 format. The recordings feature the signing of 41 men and 27 women. The average age of all signers was 30 years. Recordings were made in 13 locations. Following approaches developed in earlier sign language corpora, the following he types of data were collected for the the Dogon Sign Language Corpus: <ul> <li>personal narratives</li> <li>interviews about personal history</li> <li>signed guided tours by deaf signers around the house, fields and nature</li> <li>elicited lexical data</li> <li>reports by the team members of the data collection</li></ul> Metadata are stored in the IMDI sign language format, using the <a href=""https://portal.clarin.nl/node/14320"">ARBIL editor software</a>. The entire corpus, i.e. the video clips, annotations and metadata, is stored in the DoBeS archive at the Max Planck Institute for Psycholinguistics in Nijmegen.";"Sign language resources";"Download";"https://archive.mpi.nl/islandora/object/tla%3A1839_00_0000_0000_0016_2E9E_4#";;;
"Hotel Review Corpus – Dutch Sign Language";"http://hdl.handle.net/10032/tm-a2-x5";"Dogon Sign Language (NGT)";"21,825 words; 3.5 hours";;"CC BY-NC 3.0";;"This is a multimodal parallel corpus of hotel reviews that were originally written in Dutch, and subsequently translated into the Dutch Sign Language by 6 professionals, all of whom are deaf translators.#SEPThe corpus is available for download from the Institute of Dutch Language.";"Sign language resources";"Download";"http://hdl.handle.net/10032/tm-a2-x5 ";;;
"Corpus NGT";"https://hdl.handle.net/1839/00-0000-0000-0021-2A75-B";"Dutch Sign Language (NGT)";"2375 sessions";"ID-Glosses, sentence-level translations, and mouth actions for a subset of the sessions";"CC-BY-NC-SA 3.0 NL";;"This corpus contains sessions with linked media files and ELAN annotation files (EAF); about 15% of the sessions are glossed and translated.";"Sign language resources";"Download";"https://hdl.handle.net/1839/b0c69aeb-222a-41df-b7c5-979001b635b3";"Crasborn et al. (2008)";"https://www.sign-lang.uni-hamburg.de/lrec/pub/08003.html";
"The NGT Interactive Corpus";"https://hdl.handle.net/1839/00-0000-0000-0021-8357-B";"Dutch Sign Language (NGT)";"23 hours";"Unannotated";"Restricted access, unspecified";;"This corpus contains 15 spontaneous dialogues and multi-participant conversations by deaf signers, 10 of which were recorded in authentic settings like a deaf club and a bar, 5 were recorded in the lab. In addition, two informal three-party conversations were filmed where each participant was wearing a mobile eye trackers.";"Sign language resources";"Browse";"https://hdl.handle.net/1839/00-0000-0000-0021-8357-B";;;
"VISIBASE CORPUS";"https://hdl.handle.net/1839/00-0000-0000-0004-DF8F-4";"Dutch Sign Language (NGT)";"32 recordings";"yes";"Restricted";;"The Visibase corpus is a collection of digitised and described NGT material that was present in the late 1990s at the sign language research groups at the University of Amsterdam and at Leiden University. The project lasted from 1996–2001 and was based at Radboud University, University of Amsterdam and Utrecht University.";"Sign language resources";"Download";"https://archive.mpi.nl/islandora/object/tla%3A1839_00_0000_0000_0004_DF8F_4";;;
"ECHO";"https://hdl.handle.net/1839/00-0000-0000-0001-4892-C";"Dutch Sign Language (NGT), British Sign Language (BSL), Swedish Sign Language (SSL), German Sign Language (DGS)";"76 MPEG1 recordings";"EAF transcripts";"CC BY-NC-SA 3.0";;"The corpus contains recorded sign narrations of five fable stories, a small lexicon, and interviews with the signers for each of the three languages. In addition, there is sign language poetry from BSL, NGT and SSL. Finally, the corpus includes two annotated segments of the <a href=""http://www.signum-verlag.de/"">Gehörlos So!</a> corpus of German Sign Language (DGS) by <a href=""https://forschung-sachsen-anhalt.de/pl/hessmann-32628"">Jens Heßmann</a>.";"Sign language resources";"Download";"https://archive.mpi.nl/tla/islandora/object/tla%3A1839_00_0000_0000_0001_494E_3";"Crasborn et al. (2007)";"https://doi.org/10.1075/ijcl.12.4.06cra";
"Corpus-PhD-Fusellier-Souza-2004";"https://cocoon.huma-num.fr/exist/crdo/search2.xql?lang=fr&keyword=Fusellier";"Emerging Sign Languages (in Brazil)";"10 discourses with 3 Deaf emerging signers in Brasil";"partially annotated corpus";"CC BY-NC-ND 4.0";;"This is a corpus containing 10 discourses with 3 Deaf emerging signers in Brasil.#SEPThe corpus is available for download from the Huma-num repository (COCOON).";"Sign language resources";"Download";"https://cocoon.huma-num.fr/exist/crdo/search2.xql?lang=fr&keyword=Fusellier";;;
