Corpus;Corpus_URL;Size;Annotation;Licence;Licence_URL;Language;Description;Family;Buttons;Buttons_URL;Publication;Publication_URL;Note
"MULTEXT-East ""1984"" annotated corpus 4.0";http://hdl.handle.net/11356/1043;80,000 sentences, 1 million words;morphosyntactic tagging, lemmatisation, sentence alignment;CC BY-NC-SA 4.0;;Bulgarian, Czech, English, Estonian, Hungarian, Macedonian, Persian, Polish, Romanian, Serbian, Slovak, Slovenian;"This corpus contains 11 human translations of George Orwell’s <em>Nineteen Eighty-Four</em>, as well as the original text. The corpus is morphosyntactically tagged following the <a href=""http://nl.ijs.si/ME/V4/msd/html/index.html"">MULTEXT-East Version 4 tagset</a>.#SEPThe corpus is available for download from the CLARIN.SI repository.";Manually annotated corpora;Download;http://hdl.handle.net/11356/1043;Erjavec (2012);https://www.clarin.eu/resource-families/manually-annotated-corpora#Erjavec%202012;
Croatian Twitter training corpus ReLDI-NormTagNER-hr 3.0;http://hdl.handle.net/11356/1793;89,855 tokens;tokenisation, sentence segmentation, word normalisation, morphosyntactic tagging, lemmatisation and Named Entity recognition;CC BY 4.0;;Croatian;This corpus contains manually annotated Croatian tweets. It is meant as a gold-standard training and testing dataset for tokenisation, sentence segmentation, word normalisation, morphosyntactic tagging, lemmatisation and named entity recognition of non-standard Serbian. Each tweet is also annotated for its automatically assigned standardness levels (T = technical standardness, L = linguistic standardness)..#SEPThe corpus is available for download from the CLARIN.SI repository.;Manually annotated corpora;Download;http://hdl.handle.net/11356/1793;Miličević and Ljubešić (2016);https://www.clarin.eu/resource-families/manually-annotated-corpora#milicevic;
Austrian Baroque Corpus;https://acdh.oeaw.ac.at/abacus/;200,000 tokens;tokenised, PoS-tagged, lemmatised, named entities;;;German;"This historical corpus contains sermons from 1650 to 1750. For linguistic annotation, each individual token was automatically assigned to a morphosyntactic word class using the <a href=""https://www.cis.uni-muenchen.de/~schmid/tools/TreeTagger/"">TreeTagger</a> software. As a classification system, the 54-part Stuttgart-Tübingen TagSet (<a href=""https://homepage.ruhr-uni-bochum.de/Stephen.Berman/Korpuslinguistik/Tagsets-STTS.html"">STTS</a>) was used. For lemmatization , a normalized basic word form was used for each token and the <a href=""http://www.duden.de/"">Duden</a> and the <a href=""http://www.dwb.uni-trier.de/"">German dictionary by Jacob and Wilhelm Grimm</a> were used as reference works. The part-of-speech tagging and lemmatization was then manually checked.#SEPThe corpus is available through a dedicated concordancer.";Manually annotated corpora;Concordancer;https://acdh.oeaw.ac.at/abacus/corpus.html;Resch et al (2016);https://www.clarin.eu/resource-families/manually-annotated-corpora#Resch%20et%20al.%202016;
Serbian Twitter training corpus ReLDI-NormTagNER-sr 3.0;http://hdl.handle.net/11356/1794;92,271 tokens;tokenisation, sentence segmentation, word normalisation, morphosyntactic tagging, lemmatisation and Named Entity recognition;CC BY 4.0;;Serbian;This corpus contains manually annotated Serbian tweets. It is meant as a gold-standard training and testing dataset for tokenisation, sentence segmentation, word normalisation, morphosyntactic tagging, lemmatisation and named entity recognition of non-standard Serbian. Each tweet is also annotated for its automatically assigned standardness levels (T = technical standardness, L = linguistic standardness)..#SEPThe corpus is available for download from the CLARIN.SI repository.;Manually annotated corpora;Download;http://hdl.handle.net/11356/1794;Miličević and Ljubešić (2016).;https://www.clarin.eu/resource-families/manually-annotated-corpora#milicevic;
Training corpus SETimes.SR 1.0;http://hdl.handle.net/11356/1200;87,000 tokens;tokenisation, sentence segmentation, morphosyntactic tagging, lemmatisation, syntactic parsing, and Named Entity recognition;CC BY-SA 4.0;;Serbian;This corpus contains posts from the Southeast European Times news portal, which is now defunct.#SEPThe corpus is available through the concordancers KonText and noSketchEngine and for download from the CLARIN.SI repository.;Manually annotated corpora;KonText#SEPnoSketch#SEPDownload;https://www.clarin.si/kontext/first_form?corpname=setimes_sr#SEPhttps://www.clarin.si/noske/run.cgi/corp_info?corpname=setimes_sr&struct_attr_stats=1#SEPhttp://hdl.handle.net/11356/1200;Batanović et al. (2018).;https://www.clarin.eu/resource-families/manually-annotated-corpora#batanovic;
CMC training corpus Janes-Tag 2.0;http://hdl.handle.net/11356/1123;75,000 tokens;tokenisation, sentence segmentation, word normalisation, morphosyntactic tagging, lemmatisation and Named Entity recognition;CC BY-SA 4.0;;Slovenian;"This corpus contains computer-mediated communication (CMC). The corpus is morphosyntactically tagged following the <a href=""http://nl.ijs.si/ME/V5/msd/"">MULTEXT-East Version 5 tagset</a>.#SEPThe corpus is available through the concordancers KonText and noSketchEngine and for download from the CLARIN.SI repository.";Manually annotated corpora;KonText#SEPnoSketch#SEPDownload;https://www.clarin.si/kontext/first_form?corpname=janes_tag#SEPhttps://www.clarin.si/noske/run.cgi/corp_info?corpname=janes_tag&struct_attr_stats=1#SEPhttp://hdl.handle.net/11356/1123;Fišer et al. (2018);https://www.clarin.eu/resource-families/manually-annotated-corpora#fiser;
Training corpus jos1M 1.1;http://hdl.handle.net/11356/1037;1 million words;morphosyntactic tagging and lemmatisation;CC BY-NC 4.0;;Slovenian;"This corpus contains sampled paragraphs from the Slovenian national corpus FidaPLUS. The corpus is morphosyntactically tagged following the <a href=""http://nl.ijs.si/ME/V4/msd/html/index.html"">MULTEXT-East Version 4 tagset</a>.#SEPThe corpus is available for download from the CLARIN.SI repository.";Manually annotated corpora;Download;http://hdl.handle.net/11356/1037;Erjavec et al. (2010).;https://www.clarin.eu/resource-families/manually-annotated-corpora#erjavecetal2010;
Training corpus ssj500k 2.1;http://hdl.handle.net/11356/1181;586,000 tokens;fully – tokenisation, sentence segmentation, morphosyntactic tagging, and lemmatisation. Half of the corpus – syntactic parsing, Named Entity recognition, and verbal multiword expression tagging. Quarter of corpus: semantic roles;CC BY-NC-SA 4.0;;Slovenian;This corpus contains standard Slovenian.#SEPThe corpus is available through the concordancers KonText and noSketchEngine and for download from the CLARIN.SI repository.;Manually annotated corpora;KonText#SEPnoSketch#SEPDownload;https://www.clarin.si/kontext/first_form?corpname=ssj500k21#SEPhttps://www.clarin.si/noske/run.cgi/corp_info?corpname=ssj500k21&struct_attr_stats=1#SEPhttp://hdl.handle.net/11356/1181;;;
Croatian linguistic training corpus hr500k 2.0;http://hdl.handle.net/11356/1792;499,635 tokens;fully – tokenisation, sentence segmentation, morphosyntactic tagging, and lemmatisation, named entities. Half of the corpus – syntactic parsing, a subset also for multi-word expressions. Fifth of the corpus: semantic roles.;CC BY-SA 4.0;;Croatian;"This training corpus contains about 500,000 tokens manually annotated on the levels of tokenisation, sentence segmentation, morphosyntactic tagging, lemmatisation and named entities. About half of the corpus is also manually annotated with syntactic dependencies. A subset of the syntactically annotated corpus is also annotated for multi-word expressions. Furthermore, about a fifth of the corpus is annotated with semantic role labels.#SEPThe annotation formalisms followed in the hr500k corpus are (1) the <a href=""https://nl.ijs.si/ME/V6/msd/"">MULTEXT-East V6</a> morphosyntactic specifications for the Serbo-Croatian macro-language, (2) the <a href=""http://universaldependencies.org/guidelines.html"">UDv2 Guidelines</a>, (3) the <a href=""https://nl.ijs.si/janes/wp-content/uploads/2017/09/SlovenianNER-eng-v1.1.pdf"">Janes annotation guidelines for named entities</a>, (4) the <a href=""https://parsemefr.lis-lab.fr/parseme-st-guidelines/1.3/"">PARSEME guidelines for annotating multi-word expressions</a> and (4) the <a href=""https://www.sdjt.si/wp/wp-content/uploads/2018/09/JTDH-2018_Gantar-et-al_Towards-Semantic-Role-Labeling-in-Slovene-and-Croatian.pdf"">semantic role labelling annotation protocol for Slovenian and Croatian</a>.#SEPThe corpus is available for download from the CLARIN.SI repository.";Manually annotated corpora;Download;http://hdl.handle.net/11356/1792;Ljubešić et al. (2016);http://www.lrec-conf.org/proceedings/lrec2016/summaries/340.html;
Serbian linguistic training corpus SETimes.SR 2.0;http://hdl.handle.net/11356/1843;97,673 tokens;tokenisation, sentence segmentation, morphosyntactic tagging, lemmatisation, syntactic dependencies, named entities;CC BY-SA 4.0;;Serbian;"This training corpus contains around 100,000 tokens manually annotated on the levels of tokenisation, sentence segmentation, morphosyntactic tagging, lemmatisation, syntactic dependencies, and named entities. The annotation formalisms followed in the SETimes.SR corpus are (1) <a href=""http://nl.ijs.si/ME/V6/msd/"">MULTEXT-East V6 morphosyntactic specifications</a>, (2) the <a href=""http://universaldependencies.org/guidelines.html"">UDv2 Guidelines</a>, and (3) <a href=""http://nl.ijs.si/janes/wp-content/uploads/2017/09/SlovenianNER-eng-v1.1.pdf"">Janes annotation guidelines for named entities</a>. The difference to the previous version of the corpus are (1) the extension of the corpus with 502 sentences from various news sources and (2) improvements in the annotations of the corpus.#SEPThe corpus is available for download from the CLARIN.SI repository.";Manually annotated corpora;Download;http://hdl.handle.net/11356/1843;Samardžić et al. (2017);https://aclanthology.org/W17-1407;
