"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Licence_URL";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"PARSEME corpora annotated for verbal multiword expressions (version 1.3)";"http://hdl.handle.net/11372/LRT-5124";"5.8 million tokens";"identification of verbal multi-word expressions (idioms, light-verb constructions, verb-particle constructions, inherently reflexive verbs, multi-verb constructions)";"PARSEME Shared Task Data (v. 1.1) Agreement";;"Arabic, Basque, Bulgarian, Chinese, Croatian, Czech, English, French, German, Hebrew, Hindi, Hungarian, Irish, Italian, Lithuanian, Maltese, Modern Greek (1453-), Persian, Polish, Portuguese, Romanian, Serbian, Slovenian, Spanish, Swedish, Turkish ";"This multilingual resource contains corpora in which verbal multi-word expressions (MWEs) have been manually annotated. Verbal MWEs include idioms (<i>let the cat out of the bag</i>), light-verb constructions (<i>make a decision</i>), verb-particle constructions (<i>give up</i>), inherently reflexive verbs (<i>help oneself</i>), and multi-verb constructions (<i>make do</i>).#SEPThe 1.0 versions of the PARSEME corpora can be queried individually through <em>KonText</em>. We provide the individual links to each corpus:#SEP<ol>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_cs_a"">Parseme VMWE 1.0 – Czech</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_de_a"">Parseme VMWE 1.0 – German</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_el_a"">Parseme VMWE 1.0 – Greek</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_es_a"">Parseme VMWE 1.0 – Spanish</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_fa_a"">Parseme VMWE 1.0 – Persian</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_fr_a"">Parseme VMWE 1.0 – French</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_hu_a"">Parseme VMWE 1.0 – Hungarian</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_it_a"">Parseme VMWE 1.0 – Italian</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_mt_a"">Parseme VMWE 1.0 – Maltese</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_pl_a"">Parseme VMWE 1.0 – Polish</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_pt_a"">Parseme VMWE 1.0 – Portuguese</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_ro_a"">Parseme VMWE 1.0 – Romanian</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_sl_a"">Parseme VMWE 1.0 – Slovenian</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_sv_a"">Parseme VMWE 1.0 – Swedish</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_tr_a"">Parseme VMWE 1.0 – Turkish</a></li>   </ol>";"Manually annotated corpora";"Download";"http://hdl.handle.net/11372/LRT-5124";"Savary et al. (2023)";"https://aclanthology.org/2023.mwe-1.6.pdf";
"Croatian linguistic training corpus hr500k 2.0";"http://hdl.handle.net/11356/1792";"499,635 tokens";"a subset tagged for multi-word expressions and semantic roles";"CC BY-SA 4.0";;"Croatian";"This training corpus contains about 500,000 tokens manually annotated on the levels of tokenisation, sentence segmentation, morphosyntactic tagging, lemmatisation and named entities. About half of the corpus is also manually annotated with syntactic dependencies. A subset of the syntactically annotated corpus is also annotated for multi-word expressions. Furthermore, about a fifth of the corpus is annotated with semantic role labels.#SEPThe annotation formalisms followed in the hr500k corpus are (1) the <a href=""https://nl.ijs.si/ME/V6/msd/"">MULTEXT-East V6</a> morphosyntactic specifications for the Serbo-Croatian macro-language, (2) the <a href=""http://universaldependencies.org/guidelines.html"">UDv2 Guidelines</a>, (3) the <a href=""https://nl.ijs.si/janes/wp-content/uploads/2017/09/SlovenianNER-eng-v1.1.pdf"">Janes annotation guidelines for named entities</a>, (4) the <a href=""https://parsemefr.lis-lab.fr/parseme-st-guidelines/1.3/"">PARSEME guidelines for annotating multi-word expressions</a> and (4) the <a href=""https://www.sdjt.si/wp/wp-content/uploads/2018/09/JTDH-2018_Gantar-et-al_Towards-Semantic-Role-Labeling-in-Slovene-and-Croatian.pdf"">semantic role labelling annotation protocol for Slovenian and Croatian</a>.#SEPThe corpus is available for download from the CLARIN.SI repository.";"Manually annotated corpora";"Download";"http://hdl.handle.net/11356/1792";"Ljubešić et al. (2016)";"http://www.lrec-conf.org/proceedings/lrec2016/summaries/340.html";
"Croatian Twitter training corpus ReLDI-NormTagNER-hr 3.0";"http://hdl.handle.net/11356/1793";"89,855 tokens";"word normalisation";"CC BY 4.0";;"Croatian";"This corpus contains manually annotated Croatian tweets. It is meant as a gold-standard training and testing dataset for tokenisation, sentence segmentation, word normalisation, morphosyntactic tagging, lemmatisation and named entity recognition of non-standard Serbian. Each tweet is also annotated for its automatically assigned standardness levels (T = technical standardness, L = linguistic standardness)..#SEPThe corpus is available for download from the CLARIN.SI repository.";"Manually annotated corpora";"Download";"http://hdl.handle.net/11356/1793";"Miličević and Ljubešić (2016)";"https://www.clarin.eu/resource-families/manually-annotated-corpora#milicevic";
"Czech Legal Text Treebank 2.0";"http://hdl.handle.net/11234/1-2498";"1121 sentences";"semantic role labelling";"CC BY-NC-SA 4.0";;"Czech";"This corpus contains legal texts.#SEPThe corpus is available through the concordance KonText, the PML-TQ tool and for download from the LINDAT repository.";"Manually annotated corpora";"KonText#SEPPML-TQ#SEPDownload";"https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=legaltext_cs_a#SEPhttps://lindat.mff.cuni.cz/services/pmltq/#!/treebank/cltt20/query/#SEPhttp://hdl.handle.net/11234/1-2498";;;
"Prague Discourse Treebank 2.0";"http://hdl.handle.net/11234/1-1905";"49,500 sentences";"mark-up of discourse phenomena enriched by the annotation of secondary connectives";"CC-BY";;"Czech";"This corpus is a subset of the <a href=""http://hdl.handle.net/11234/1-2621"">Prague Dependency Treebank 3.5</a>.#SEPThe corpus is available through the PML-TQ tool.";"Manually annotated corpora";"PML-TQ";"https://lindat.mff.cuni.cz/services/pmltq/#!/treebank/pdit20/query/";;;
"Prague Czech-English Dependency Treebank 2.0 Coref";"http://hdl.handle.net/11234/1-1664";"49,000 sentences";"mark-up of coreference";"CC-BY-NC-SA + LDC99T42 (restricted use)";;"Czech, English";"This corpus is an extended version of <a href=""http://hdl.handle.net/11858/00-097C-0000-0015-8DAF-4"">Prague Czech-English Dependency Treebank 2.0</a>, with added mark-up of coreference. The syntactic parsing follows the <a href=""https://ufal.mff.cuni.cz/pdt2.0/"">PDT 2.0 style</a>D#SEPThe corpus is available for download from the LINDAT repository. The version without coreference annotation is available through the concordancer KonText and the PML-TQ tool.T 2.0 style.";"Manually annotated corpora";"KonText#SEPPML-TQ#SEPDownload";"https://lindat.mff.cuni.cz/idpdiscovery/discovery.html?entityID=https%3A%2F%2Fufal-point.mff.cuni.cz%2Fshibboleth%2Feduid%2Fsp&return=https%3A%2F%2Flindat.mff.cuni.cz%2FShibboleth.sso%2FLogin%3FSAMLDS%3D1%26target%3Dcookie%253A1548331392_7a32#SEPhttps://lindat.mff.cuni.cz/services/pmltq/#!/treebank/pcedt20_cz/query/#SEPhttp://hdl.handle.net/11234/1-1664";;;
"Artificial Treebank with Ellipsis";"http://hdl.handle.net/11234/1-2616";"106,000 tokens, 10,604 sentences";"mark-up of elliptical constructions";"Licence Universal dependencies v2.1";;"Czech, English, Finnish, Russian, Slovak";"The syntactic parsing follows the <a href=""http://universaldependencies.org/guidelines.html"">Universal Dependencies</a> schema.#SEPThe corpus is available for download from the LINDAT repository.";"Manually annotated corpora";"Download";"http://hdl.handle.net/11234/1-2616";;;
"Grundtvig's Works Corpus ";"http://hdl.handle.net/20.500.12115/31";"11,417,194 words";"linked data (places, persons, bible citations, etc.)";"CC BY-NC 4.0";;"Danish";"This corpus contains the literary works of the Danish bishop N.F.S Grundtvig.#SEPThe corpus is available for download from the CLARIN-DK repository.";"Manually annotated corpora";"Download";"http://hdl.handle.net/20.500.12115/31";;;
"SoNaR-1";"http://hdl.handle.net/10032/tm-a2-h5";"1 million words";"semantic role labelling";;;"Dutch";"This is a manually annotated subset of the much larger (approx.. 500 million) word) SoNaR corpus.#SEPThe corpus is available for download from the Dutch Language Institute.";"Manually annotated corpora";"Download";"http://hdl.handle.net/10032/tm-a2-h5";;;
"Natural Language 2 Semantic Hypergraph Dataset NL2SH 1.0";"http://hdl.handle.net/11356/1822";"6,851 tokens";"semantic role labelling, coreference, tokenisation, PoS-tagging, lemmatisation, syntactic dependencies, named entities";"CLARIN.SI Licence ACA ID-BY-NC-INF-NORED";;"English";"This corpus can be used to build and evaluate methods for knowledge extraction and representation based on a semantic hypergraph. Each sentence has natural language annotations and dedicated semantic hyperedge. Majority of the sentences used in this dataset are taken from the following sources:
<ul>
<li>John Eastwood, Oxford Guide to English Grammar, Oxford University Press, 2002.</li>
<li>Andrew Redford, An Introduction to English Sentence Structure, Cambridge University Press, 2009.</li>
<li>Essential English Grammar, Philip Gucker, Dover Publications, Inc. New York, 1966.</li>#SEP
The corpus is available for download from the CLARIN.SI repository.";"Manually annotated corpora";"Download";"http://hdl.handle.net/11356/1822";;;
