Corpus,Corpus_URL,Language,Size,Annotation,Licence,Description,Buttons,Buttons_URL,Publication,Publication_URL,Note;;
"Older Scottish texts : the Edinburgh DOST corpus / A.J. Aitken, Paul Bratley and Neil Hamilton-Smith,http://purl.ox.ac.uk/ota/0701,English,""877,000 tokens"",tokenised,CC-BY-NC-SA 3.0,This corpus contains texts from 1450 to 1600.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/0701,,,";;
Pamphlets of the American Revolution : [selections] / edited by Bernard Bailyn,http://purl.ox.ac.uk/ota/2021,English,,,CC-BY-NC-SA 3.0,This corpus contains pamphlets of the American Revolution from 1750 to 1776.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/2021,,,;;
"Parsed Corpus of Early English Correspondence (PCEEC),http://hdl.handle.net/11372/LRT-753,English,2.2 million words,""tokenised, PoS-tagged, syntactically parsed"",Oxford Text Archive licence,This corpus contains correspondence from around 1410 to 1681.#SEPThis corpus is available for download from the Oxford Text Archive.,Download,http://ota.ahds.ac.uk/headers/2510.xml,,,";;
"Royal Society Corpus (Version 4.0),http://hdl.handle.net/21.11119/0000-0001-7E8B-6,English,35 million tokens,""PoS-tagged using PennTreebank tagset, lemmatised, normalised"",CC-BY-NC-SA-4.0,This corpus contains articles from the <a href=”http://rstl.royalsocietypublishing.org/”> Philosophical Transactions of the Royal Society of London</a> journal from 1665 to 1869.#SEPThe corpus is available for download from the CLARIN-D repository as well as through a concordancer.,Concordancer#SEPDownload ,http://fedora.clarin-d.uni-saarland.de/rsc_v4/access.html#cqpweb#SEPhttp://fedora.clarin-d.uni-saarland.de/rsc_v4/access.html#download,,,";;
"The English language of the north-west in the late Modern English period: a Corpus of late 18c Prose,http://purl.ox.ac.uk/ota/2468,English,""300,000 words"",COCOA-style,Oxford Text Archive licence,This corpus contains texts from 1761 to 1790.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/2468,,,";;
The Lampeter Corpus of Early Modern English Tracts,http://purl.ox.ac.uk/ota/2400,English,,,CC-BY-NC-SA 3.0,This corpus contains tracts from 1640 to 1740.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/2400,,,;;
The Lancaster Newsbooks Corpus,http://purl.ox.ac.uk/ota/2531,English,,,CC-BY-NC-SA 3.0,This corpus contains two collections of English newsbooks from 1654 to 1655.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/2531,,,;;
Corpus of Historical American English - Kielipankki Korp version 2017H1,http://urn.fi/urn:nbn:fi:lb-2017061925,English (American),385 million tokens,tokenised,CLARN ACA,This corpus contains texts from 1810 to 2009.#SEPThe corpus is available through the concordancer Korp.,Concordancer,http://urn.fi/urn:nbn:fi:lb-2017061934,,,;;
The Corpus of Late Modern English Texts, version 3.1,http://hdl.handle.net/21.11119/0000-0002-43F3-0,English (Late Modern),34 million words,PoS-tagged,CC-BY-NC-SA 4.0,This corpus contains texts written by British and Irish authors from 1710 to 1920.#SEPThe corpus is available for download from a CLARIN-D repository.  ,Download,http://fedora.clarin-d.uni-saarland.de/clmet/clmet3_1.zip,,,;;
"The Old Bailey Corpus,http://hdl.handle.net/11858/00-246C-0000-0023-8CFB-2,English (Late Modern),134 million words,""detailed sociobiographical, pragmatic and textual annotation"",CC-BY-NC-SA 4.0,""This corpus contains proceedings of the Old Bailey (i.e., legal documents) from 1674 to 1913.#SEPThe corpus is available for download from the CLARIN-D repository and through the CQPConcordancer.#SEPFor the corpus manual, see <a href=””>Huber et al. (2016).</a>"",,,,,";;
"Helsinki corpus of English texts,http://purl.ox.ac.uk/ota/1477,English (Old and Middle),""240,000 words"",,Oxford Text Archive licence,This corpus contains Biblical and fictional texts from 730 to 1710.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/1477,,,";;
"The York-Helsinki parsed corpus of Old English poetry (YCOEP),http://purl.ox.ac.uk/ota/2425,English (Old),""71,500 words"",syntactically-parsed,Oxford Text Archive licence,This corpus contains poems from 730 to 1710.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/2425,,,";;
"Corpus of Old Written Estonian,http://hdl.handle.net/11297/1-00-0000-0000-0000-0002-6,Estonian,2 million tokens,""tokenised, 16.-18. century texts have been tagged with contemporary Estonian, morphological and language information. 19. century texts are unannotated."",CC-BY,This corpus covers secular and religious texts from the 16th to the 18th century.#SEPThe corpus is available through a dedicated concordancer.,Concordancer,http://vakk.ut.ee/,Kingisepp et al. (2004).,https://www.clarin.eu/resource-families/historical-corpora#Kingisepp%20et%20al.%202004,";;
Classics of Finnish Literature, Kielipankki Version,http://urn.fi/urn:nbn:fi:lb-20140730186,Finnish,1.5 million words,,EUPL v.1.1 SA,This corpus contains literary texts from 1880 to 1949.#SEPThe corpus is available through the concordancer Korp.,Concordancer,http://urn.fi/urn:nbn:fi:lb-2016081601,,,;;
Corpus of Old Literary Finnish,http://urn.fi/urn:nbn:fi:lb-20140730186,Finnish,4.1 million words,,EUPL v.1.1 SA,This corpus contains literary texts from 1543 to 1810.#SEPThe corpus is available through the concordancer Korp.,Concordancer,http://urn.fi/urn:nbn:fi:lb-2014102101,,,;;
The Finnish Gutenberg Corpus,http://urn.fi/urn:nbn:fi:lb-2014100301,Finnish,34.5 million words,,CC-BY,This corpus contains books published up to 1925 that are made available through the Gutenberg project.#SEPThe corpus is available through the concordancer Korp.,Concordancer,http://urn.fi/urn:nbn:fi:lb-2014102101,,,;;
The Finnish Sub-corpus of the Newspaper and Periodical Corpus of the National Library of Finland, Kielipankki Version,http://urn.fi/urn:nbn:fi:lb-2016050302,Finnish,5.2 billion tokens,tokenised,CC_BY-SA,This corpus contains newspaper articles from 1840 to 2011.#SEPThe corpus is available through the concordancer Korp.,Concordancer,http://urn.fi/urn:nbn:fi:lb-201405275,,,;;
"The Morpho-Syntactic Database of Mikael Agricola's Works,http://urn.fi/urn:nbn:fi:lb-20140730170,Finnish,""428,300 tokens"",""tokenised, PoS-tagged, morphological components and syntactic function"",CC-BY-ND,This corpus contains texts from 1544 to 1551 written by the clergyman Mikael Agricola.#SEPThe corpus is available through the concordancer Korp.,Concordancer,http://urn.fi/urn:nbn:fi:lb-201407166,,,";;
Virtual Old Literary Finnish (VVKS) - Kielipankki Korp version,http://urn.fi/urn:nbn:fi:lb-2017082101,Finnish,48 texts,,CC-BY-NC-ND,This corpus contains literary texts from 1543 to 1791.,,,,,;;
Partonopeus de Blois: transcriptions of all manuscripts and fragments,http://purl.ox.ac.uk/ota/2499,French (Old),,,,This corpus contains transcriptions of the manuscripts and fragments of the romance Partonopeus de Blois.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/2499,,,;;
"Syntactic Reference Corpus of Medieval French,http://hdl.handle.net/11022/1007-0000-0000-9D2B-0,French (Old),""245,000 tokens"",""tokenised, syntactically-parsed"",CLARIN ACA,This corpus contains texts from the 9th to the 13th century.#SEPThe corpus is available for download from a dedicated webpage.,Download,http://srcmf.org/#sec:access,Stein (2013).,https://www.clarin.eu/resource-families/historical-corpora#Stein%202013,";;
"Austrian Baroque Corpus,https://acdh.oeaw.ac.at/abacus/,German,""200,000 tokens"",""tokenised, PoS-tagged, lemmatised, named entities"",,This corpus contains sermons from 1650 to 1750.#SEPThe corpus is available through a dedicated concordancer.,Concordancer,https://acdh.oeaw.ac.at/abacus/corpus.html,Resch et al. (2016).,https://www.clarin.eu/resource-families/historical-corpora#Resch%20et%20al.%202016,";;
DDR-Presseportal (GDR press portal),https://clarin.bbaw.de/en/corpus/,German,,,,This corpus contains newspaper texts from 1945 to 1994.#SEPThe corpus is available through a concordancer provided by CLARIN-D.,Concordancer,http://zefys.staatsbibliothek-berlin.de/ddr-presse/,,,;;
Deutsches Textarchiv (DTA),http://hdl.handle.net/11372/LRT-172,German,,,CLARIN PUB,This corpus contains texts from the 17th to the 20th century.#SEPThe corpus is available through a dedicated concordancer.,Concordancer,http://www.deutschestextarchiv.de/,Haaf and Thomas (2016).,https://www.clarin.eu/resource-families/historical-corpora#Haaf%20and%20Thomas%202016,;;
"Die Grenzboten (journal),http://www.deutschestextarchiv.de/doku/textquellen#grenzboten,German,89 million tokens,""tokenised, lemmatised, PoS-tagged, normalised orthography"",,This corpus contains texts from 1842 to 1921.#SEPThe corpus is available for download from the Deutsches Text Archiv and through a concordancer.,Concordancer#SEPDownload,http://kaskade.dwds.de/dstar/grenzboten/#SEPhttp://www.deutschestextarchiv.de/doku/textquellen#grenzboten,,,";;
"Dinglers Polytechnisches Journal (Polytechnical Journal of Dingler),http://www.deutschestextarchiv.de/doku/textquellen#dingler,German,77.5 million tokens,""tokenised, PoS-tagged, lemmatised, normalized orthography"",CC-BY-NC-SA 3.0,This corpus contains academic texts from 1820 to 1931.#SEPThe corpus is available for download from the Deutsches Text Archiv and through a concordancer.,Concordancer#SEPDownload,http://kaskade.dwds.de/dstar/dingler/#SEPhttp://www.deutschestextarchiv.de/doku/textquellen#dingler,,,";;
"GeMi Corpus,http://purl.ox.ac.uk/ota/2562,German,""120,000 tokens"",""TEI Lite markup, no linguistic annotation"",CC-BY-NC-SA 3.0,This corpus contains medical writing from 1500 to 1700.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/2562,,,";;
"GerManC. A Historical Corpus of German Newspapers 1650-1800,http://ota.ox.ac.uk/desc/2544,German,""700,000 words"",,CC-BY-NC-SA 3.0,""This corpus contains personal letters, sermons and fictional, scholarly (i.e., humanities), scientific and legal texts from 1650 to 1800.#SEPThe corpus is available for download from the Oxford Text Archive."",Download,http://ota.ox.ac.uk/desc/2544,,,";;
Mannheimer Korpus Historischer Zeitungen und Zeitschriften,https://vlo.clarin.eu/record?1&docId=http_58__47__47_hdl.handle.net_47_10932_47_00-01B8-AE41-41A4-DC01-5&q=mannheimer+corpus&index=2&count=37,German,3532 pages,,,This corpus contains texts from the 18th and 19th centuries.#SEPThe corpus is available for download directly through the <a class=”lexicon-term” href=”https://www.clarin.eu/glossary#VLO” title=”Virtual Language Observatory See: http://www.clarin.eu/vlo”>VLO</a>.,Download,http://hdl.handle.net/10932/00-017B-E47E-5630-9F01-3,,,;;
"Referenzkorpus Mittelhochdeutsch (Middle High German Reference Corpus,http://deutschestextarchiv.de/rem/,German,2.5 million tokens,""tokenised, PoS-tagged, lemmatised, normalised, morphosyntactic descriptio"",CC-BY-SA 4.0,This corpus contains texts from 1050 to 1350.#SEPThe corpus is available for download from the Deutsches Text Archiv and through a concordancer.,Concordancer#SEPDownload,http://www.deutschestextarchiv.de/#SEPhttp://deutschestextarchiv.de/rem/,Klein and Dipper (2016).,https://www.clarin.eu/resource-families/historical-corpora#Klein%20and%20Dipper%202016,";;
"B4 Historisches Predigtenkorpus zum Nachfeld,http://hdl.handle.net/11022/0000-0000-9B23-A,German (Middle High),""92,500 tokens"",""tokenised, syntactic and discursive annotation"",CLARIN ACA,This corpus contains sermons from an Upper German (Balvarian-Alemannic) dialect area.#SEPThe corpus is available for download from the repository of the University of Hamburg and through the ANNIS environment.,Concordancer#SEPDownload,http://annis.corpora.uni-hamburg.de:8080/gui/sfb632#SEPhttp://hdl.handle.net/11022/0000-0000-9B23-A,,,";;
"B4 Ludolf,http://hdl.handle.net/11022/0000-0000-9B22-B,German (Middle High),""6,690 tokens"",""tokenised, tagged for clause type and grammatical function"",CLARIN ACA,This corpus contains texts from a journey diary from 1350.#SEPThe corpus is available for download from the repository of the University of Hamburg and through the ANNIS environment.,Concordancer#SEPDownload,http://annis.corpora.uni-hamburg.de:8080/gui/sfb632#SEPhttp://hdl.handle.net/11022/0000-0000-9B22-B,,,";;
"Reference Corpus Middle Low German/Low Rhenish (1200-1650),http://hdl.handle.net/11022/0000-0007-C64C-5,German (Middle Low),""200,700 tokens"",""tokenised, MSD-tagged"",CC-BY,This corpus contains texts from the 13th century to the middle of the 17th century.#SEPThe corpus is available for download from the repository of the University of Hamburg through the ANNIS environment.,Concordancer#SEPDownload,http://annis.corpora.uni-hamburg.de:8080/gui/#_c=UmVOXzIwMTctMDYtMTU#SEPhttp://hdl.handle.net/11022/0000-0007-C64C-5,Schröder (2014).,https://www.clarin.eu/resource-families/historical-corpora#Schr%C3%B6der%202014,";;
"SaCoCo—Saarbrücken Cookbook Corpus,http://hdl.handle.net/11858/00-246C-0000-001F-7C43-1,German,""436,000 tokens"",""PoS-tagged using the STTS tagset, lemmatised, normalised"",CC-BY-NC-SA-3.0,""This corpus contains historical cookbook recipes from  1569 to 1800, as well as contemporary ones from 2012.#SEPThe corpus is available through the CQPweb concordancer provided by CLARIN-D."",Concordancer,https://corpora.clarin-d.uni-saarland.de/cqpweb/sacoco,,,";;
"OROSSIMO Corpus – History,http://hdl.grnet.gr/11500/ATHENA-0000-0000-240F-8,Greek,""553,000 tokens"",structural annotation (paragraph),CC-BY,This corpus contains historic academic texts.#SEPThe corpus is available for download from the clarin:el repository.,Download,http://hdl.grnet.gr/11500/ATHENA-0000-0000-240F-8,,,";;
Hungarian Historical Corpus,http://clara.nytud.hu/mtsz/run.cgi/first_form,Hungarian,30 million words,,,This corpus contains historical texts from the 18th century to the 2000s.#SEPThe corpus is available through a dedicated concordancer.,Concordancer,http://clara.nytud.hu/mtsz/run.cgi/first_form?corpname=MTSZ;lemma=;lpos=,,,
"Menota,http://clarino.uib.no/menota/page,Old Norse,1.6 million tokens,""tokenised, MSD-tagged, lemmatised"",CC-BY,This corpus contains Medieval Nordic texts.#SEPThe corpus is available for download and through the concordancer Corpuscle.,Concordancer#SEPDownload,http://clarino.uib.no/menota/concordance?session-id=245049575860250#SEPhttp://clarino.uib.no/menota/catalogue?session-id=245056631975155,,,";;
Chronopress,http://hdl.handle.net/11321/260,Polish,16 million tokens,,CC-BY-SA,This corpus contains newspaper articles from 1945 to 1954.#SEPThe corpus is available through a dedicated concordancer.,Concordancer,http://chronopress.clarin-pl.eu/#!start,,,;;
"Polish language of the 1960s,http://purl.ox.ac.uk/ota/2482,Polish,""500,000 words"",MSD-tagged,CC-BY-NC-SA 3.0,""This corpus contains essays, news articles, and scientific and literary texts from 1963 to 1967.#SEPThe corpus is available for download from the Oxford Text Archive."",Download,http://purl.ox.ac.uk/ota/2482,,,";;
Corpus of biblical text in Scots / John Kirk,http://purl.ox.ac.uk/ota/1713,Scots,,,Oxford Text Archive licence,This corpus contains Biblical texts.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/1713,,,;;
"The Helsinki corpus of Older Scots : [1450-1700],http://purl.ox.ac.uk/ota/2081,Scots,,,CC-BY-NC-SA 3.0,""This corpus contains texts of different domains and genres (e.g., burgh records, diaries, pamphlets, scientific treatises, sermons) from 1450 to 1700.#SEPThe corpus is available for download from the Oxford Text Archive."",Download,http://purl.ox.ac.uk/ota/2081,,,";;
"Digital library and corpus of historical Slovene IMP 1.1,http://hdl.handle.net/11356/1031,Slovenian,17.7 million tokens,""tokenised, lemmatised, PoS-tagged"",CC-BY-SA 4.0,This corpus contains 658 unique texts from 1584 to 1919.#SEPThe corpus is available for download from the CLARIN.SI repository and through the concordancer KonText.,Concordancer#SEPDownload,https://www.clarin.si/kontext/first_form?corpname=imp#SEPhttp://hdl.handle.net/11356/1031,Erjavec (2015).,https://www.clarin.eu/resource-families/historical-corpora#Erjavec%202015,";;
"Reference corpus of historical Slovene goo300k 1.2,http://hdl.handle.net/11356/1025,Slovenian,""300,000 tokens"",""manually tokenised, lemmatised, PoS-tagged, modern synonyms for archaic words"",CC-BY 4.0,This corpus contains 89 unique texts from 1584 to 1899.#SEPThe corpus is available for download from the CLARIN.SI repository and through the concordancer KonText.,Concordancer#SEPDownload,https://www.clarin.si/kontext/first_form?corpname=goo300k#SEPhttp://hdl.handle.net/11356/1025,Erjavec (2012).,https://www.clarin.eu/resource-families/historical-corpora#Erjavec%202012,";;
The Swedish Sub-corpus of the Newspaper and Periodical Corpus of the National Library of Finland, Kielipankki Version,http://urn.fi/urn:nbn:fi:lb-2016050301,Swedish,3.5 billion tokens,tokenised,CC-BY-SA.,This corpus contains newspaper articles from 1770 to 1950.#SEPThe corpus is available through the concordancer Korp.,Concordancer,http://urn.fi/urn:nbn:fi:lb-2014091901,,,;;
"Historical Corpus of the Welsh Language 1500-1850,http://hdl.handle.net/11372/LRT-883,Welsh,""420,000 words"",,,This corpus contains 30 texts from 1500 to 1850.#SEPThe corpus is available for download from a dedicated website and through a dedicated concordancer.,Concordancer#SEPDownload,http://people.ds.cam.ac.uk/dwew2/hcwl/t/webconc/framconc.htm#SEPhttp://people.ds.cam.ac.uk/dwew2/hcwl/texts.htm,,,";;
