Corpus,Corpus_URL,Size,Annotation,Licence,Language,Description,Buttons,Buttons_URL,Publication,Publication_URL,Note
Concreteness and imageability lexicon MEGA.HR-Crossling,http://hdl.handle.net/11356/1187,"7,237,589 entries","concreteness prediction, imageability prediction",CC-BY-SA 4.0,77 languages,These lexica contain concreteness and imageability predictions for 77 languages. They are available for download from CLARIN.SI.,Download,http://hdl.handle.net/11356/1187,Ljubešić et al. (2018),https://www.clarin.eu/resource-families/lexical-resources-lexica#Ljube%C5%A1i%C4%87%20et%20al.%202018,
Emoji Sentiment Ranking 1.0,http://hdl.handle.net/11356/1048,751 entries (emojis),sentiment labels,CC-BY-SA 4.0,"Albanian, Bulgarian, English, German, Hungarian, Polish, Portuguese, Russian, Serbo-Croatian, Slovak, Slovenian, Spanish, Swedish",This is a lexicon of emojis available for download from CLARIN.SI and for online browsing through a dedicated environment.,Browse#Download,http://kt.ijs.si/data/Emoji_sentiment_ranking/#SEPhttp://hdl.handle.net/11356/1048,Kralj Novak et al. (2015),https://www.clarin.eu/resource-families/lexical-resources-lexica#Kralj%20Novak%20et%20al.%202015,
OMBI Dutch-Arabic,https://ivdnt.org/downloads/taalmaterialen/tstc-ombi-ned-arab,"37,000 entries",,other,"Arabic, Dutch","This is a bilingual lexicon that is suitable for language technology applications such as automatic translation, e-learning, multilingual information retrieval, etc. The resource is available for download from the Dutch Language Institute (INT).",Download,http://ivdnt.org/downloads/taalmaterialen/tstc-ombi-ned-arab,,,
MULTEXT-East free lexicons 4.0,http://hdl.handle.net/11356/1041,"3,665,864 entries","MSD-tags, lemmas",CC-BY-SA 4.0,"Bulgarian, Czech, English, Estonian, French, Hungarian, Romanian, Slovak, Slovenian, Ukrainian",These are morphological lexica available for download from the CLARIN.SI repository.,Download,http://hdl.handle.net/11356/1041,Erjavec (2011),https://www.clarin.eu/resource-families/lexical-resources-lexica#Erjavec%202011,
CzEngClass 0.2,http://hdl.handle.net/11234/1-2824,"200 classes, 3,525 entries",valency and synonymy,CC-BY-NC-SA 4.0,"Czech, English","This is a valency lexicon linked to PDT-Vallex, EngVallex and external resources, such as FrameNet, VerbNet, WordNet, etc. The resource is available for download and online browsing through LINDAT.",Browse#Download,http://ufal.mff.cuni.cz/czengclass#SEPhttp://hdl.handle.net/11234/1-2824,,,
CzEngVallex,http://hdl.handle.net/11234/1-1512,"20,835 pairs (verb senses)",verb valency,CC-BY-NC-SA 4.0,"Czech, English",This is a valency lexicon linked to the parallel PCEDT corpus. The resource is available for download and online browsing through LINDAT.,Browse#Download,http://lindat.mff.cuni.cz/services/CzEngVallex/#SEPhttp://hdl.handle.net/11234/1-1512,Fučíková et al. (2016),https://www.clarin.eu/resource-families/lexical-resources-lexica#Fu%C4%8D%C3%ADkov%C3%A1%20et%20al.%202016,
OMBI Arabic-Dutch,https://ivdnt.org/downloads/taalmaterialen/tstc-ombi-arab-ned,"37,000 entries",,other,"Dutch, Arabic","This is a bilingual lexicon for language technology applications such as automatic translation, e-learning, multilingual information retrieval, etc. The resource is available for download from the Dutch Language Institute (INT).",Download,http://ivdnt.org/downloads/taalmaterialen/tstc-ombi-arab-ned,,,
OMBI Dutch-Danish,https://ivdnt.org/downloads/taalmaterialen/tstc-ombi-ned-deens,"46,000 entries",,other,"Dutch, Danish","This is a bilingual lexicon for language technology applications such as automatic translation, e-learning, multilingual information retrieval, etc. The resource is available for download from the Dutch Language Institute (INT).",Download,http://ivdnt.org/downloads/taalmaterialen/tstc-ombi-ned-deens,,,
OMBI Dutch-Indonesian,https://ivdnt.org/downloads/taalmaterialen/tstc-ombi-ned-ind,"50,000 entries",,other,"Dutch, Indonesian","This is a bilingual lexicon for language technology applications such as automatic translation, e-learning, multilingual information retrieval, etc. The resource is available for download from the Dutch Language Institute (INT).",Download,http://ivdnt.org/downloads/taalmaterialen/tstc-ombi-ned-ind,,,
QTLeap specialized lexicons,https://portulanclarin.net/repository/browse/qtleap-specialized-lexicons/9a410010830e11e5a2aa782bcb0741357950092357fd4b7c97f39c12ea6a81cc/,"231,516 entries",,CC-BY,"English, Spanish, Castilian, Bulgarian, Basque, Dutch, Flemish, Czech, Portuguese",This lexicon is used for the automatic translation of specific IT domain expressions and is available for download from CLARIN PORTULAN.,Download,http://portulanclarin.net/repository/browse/qtleap-specialized-lexicons/9a410010830e11e5a2aa782bcb0741357950092357fd4b7c97f39c12ea6a81cc/,,,
MULTEXT-East non-commercial lexicons 4.0,http://hdl.handle.net/11356/1042,"2,288,228 entries","MSD-tags, lemmas",CC-BY-NC 4.0,"Macedonian, Persian, Polish, Russian, Serbian",These are morphological lexica available for download from the CLARIN.SI repository.,Download,http://hdl.handle.net/11356/1042,,,
A machine-readable Persian-English dictionary,http://hdl.handle.net/11022/0000-0000-0029-2,"1,892 entries","morphological information, usage examples",CC-BY-NC-SA 3.0,Persian-English,"This bilingual lexicon has been compiled for comparative as well as didactic purposes in the on-going <a href=""https://vicav.acdh.oeaw.ac.at/"">VICAV</a> project. The resource is available for download from ARCHE.",Download,http://hdl.handle.net/11022/0000-0000-0029-2,,,
A machine-readable Persian-English glossary of verbs,http://hdl.handle.net/11022/0000-0000-0027-4,429 entries,basic morphological information,CC-BY-NC-SA 3.0,Persian-English,This lexicon of single-word verbs in Modern Persian is available for download from ARCHE.,Download,http://hdl.handle.net/11022/0000-0000-0027-4,,,
