"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Licence_URL";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Tatoeba";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-2589-C";"12 million tokens";"tokenised, sentence aligned";"CC-BY";;"117 languages";"This corpus contains texts from the Tatoeba website.#SEP The corpus is available for download from  the CLARIN:el repository.";"Parallel corpora";"Download";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-2589-C";;;
"Parallel Bible Corpus";"http://cts.informatik.uni-leipzig.de/";;;;;"Approx. 100 languages";"This corpus contains historical and contemporary translations of the Bible.";"Parallel corpora";;;;;
"A parallel corpus of KDE4 localization files (v.2)";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-258F-6";"60 million tokens";"tokenised, sentence aligned";"CC-BY";;"92 languages";"This corpus contains KDE4 localization files.#SEPThe corpus is available for download from the CLARIN:el repository.";"Parallel corpora";"Download";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-258F-6";;;
"OpenSubtitles2011";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-23C4-B";"8.31G tokens";"tokenised, sentence and word aligned";"Open For Reuse With Restrictions ";;"54 languages";"This corpus contains subtitles from the OpenSubtitles website.#SEPThe corpus is available for download from the CLARIN:el repository.";"Parallel corpora";"Download";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-23C4-B";;;
"EAC Translation Memory";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-258D-8";"320,000 tokens";"tokenised, sentence aligned";"Open For Reuse With Restrictions";;"50 languages";"This corpus contains law documents and texts related to education and culture.#SEPThe corpus is available for download through the CLARIN:el repository.";"Parallel corpora";"Download";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-258D-8";;;
"Parallel Global Voices";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-25DD-E";"174,629 documents";"sentence aligned";"CC-BY";;"Approx. 50 languages";"This corpus contains texts crawled from the Global Voices webpage.#SEPThe corpus is available for download from a dedicated webpage.";"Parallel corpora";"Download";"http://nlp.ilsp.gr/pgv/";;;
"InterCorp";"https://wiki.korpus.cz/doku.php/en:cnk:intercorp";"1.5 billion tokens";"sentence aligned";"proprietary";;"40 languages";"The corpus consists of two main parts: manually aligned fiction and a number of collections: political commentaries published by Project Syndicate and VoxEurop, EU legal texts form the Acquis Communautaire corpus, proceedings of the European Parliament from the Europarl corpus, film subtitles from the Open Subtitles database, and the Bible.#SEPThe corpus is available primarily through the KonText concordancer. For research purposes, tailor-made linguistic data derived from the InterCorp corpus can be provided upon request. The contact e-mail is cnk@korpus.cz.";"Parallel corpora";"Concordancer";"https://www.korpus.cz/kontext/query?corpname=intercorp_v13_en";"Čermák and Rosen (2012)";"https://www.clarin.eu/resource-families/parallel-corpora#%C4%8Cermak";
"DGT-TM-2016";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-4300-4";"373 million tokens";"tokenised, sentence aligned";"Open For Reuse With Restrictions";;"Approx. 30 languages";"This corpus contains texts from the European Legislation.#SEPThe corpus is available for download from the CLARIN:el repository.";"Parallel corpora";"Download";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-4300-4";;;
"PELCRA multilingual parallel corpora";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-23C2-D";"143 million tokens";"tokenised, sentence aligned";"CC-BY";;"25 languages";"This corpus contains texts from the CORDIC and RAPID websites, and the press releases of the European Parliament and the European Southern Observatory.#SEPThe corpus is available for download from the CLARIN:EL repository.";"Parallel corpora";"Download";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-23C2-D";;;
"DGT-Acquis";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-2592-1";;"sentence aligned";"Open For Reuse With Restrictions";;"23 languages";"This corpus contains articles from the Official Journal of the European Union from  2004 to 2011.#SEPThe corpus is available for download from the CLARIN:el repository-";"Parallel corpora";"Download";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-2592-1";;;
"JRC-Acquis Multilingual Parallel Corpus";"https://ec.europa.eu/jrc/en/language-technologies/jrc-acquis";"1 billion tokens";"tokenised, sentence aligned";"<a href=""https://ec.europa.eu/jrc/en/language-technologies/jrc-acquis#Usage%20conditions%20/%20Licensing%20issues"">Usage Conditions</a>";;"22 languages";"This corpus contains legislative and legal texts from the Acquis Communautaire from various periods beginning in the 1950s.#SEPThe corpus is available for download from the webpage of the European Commission.";"Parallel corpora";"Download";"http://ec.europa.eu/jrc/en/language-technologies/jrc-acquis";"Steinberger et al. (2014).";"https://www.clarin.eu/resource-families/parallel-corpora#Steinberger%20et%20al.%202014]";
