<<<<<<< HEAD
"Tool";"Tool_URL";"Functionality";"Description";"Licence";"Licence_URL";"Language";"Family";"Buttons";"Buttons_URL";"CLARIN_Centre";"Note";"Platform";"Publication";"Publication_URL"
"Intellitext";"http://corpus.leeds.ac.uk/itpubweb/html/index.xml";"Querying/concordancing, corpus upload";" The Intelligent Tools for Creating and Analysing Electronic Text Corpora for Humanities Research (IntelliText) project aims to facilitate corpus use for academics working in various areas of the humanities. The project produced a user-friendly corpus interface with an array of easy-to-use functions that will benefit teaching and research in several academic disciplines.#SEPIt is possible to upload one's own corpus with this tool. An <a href=""http://corpus.leeds.ac.uk/itweb/help/IntelliText_User_Guide.pdf"">online guide</a> is available. ";;;"Arabic, Czech, Chinese, English, French, German, Italian, Japanese, Kannada, Lithuanian, Portuguese, Russian, Spanish, Ukrainian";"Corpus query tools";;;"CLARIN-UK";;;;
"WebClark";"http://webclark.org/";"Querying/concordancing";"This is a dedicated concordancer for the Bulgarian National Reference Corpus.";"No licence";;"Bulgarian";"Corpus query tools";;;"CLARIN-BG";;;"t";
"Concordancer of the Croatian National Corpus";"http://filip.ffzg.hr/";"Querying/concordancing";"This is an implementation of NoSketchEngine for the <a href=""http://hdl.handle.net/11372/LRT-233"">Croatian National Corpus</a>.";;;"Croatian";"Corpus query tools";;;"CLARIN-HR";;;;
"Kontext (LINDAT)";"https://lindat.cz/kontext";"Querying/concordancing";"KonText is a basic web application for querying corpora available within the LINDAT/CLARIAH-CZ project. It allows evaluation of simple and complex queries, displaying their results as concordance lines, computing frequency distribution, calculating association measures for collocations and further work with language data. This LINDAT/CLARIAH-CZ instance is a fork of KonText application developed by the Institute of the Czech National Corpus that has been further extended by the Institute of Formal and Applied Linguistics to suit the needs of LINDAT/CLARIAH-CZ project. #SEPIt is possible to upload one's own corpus with this tool. KonText is <a href=""https://github.com/czcorpus/kontext"">openly developed</a>. Registration is required and Shibboleth log-in is supported.";;;"Czech";"Corpus query tools";;;"CLARIAH-CZ";;;"Machalek (2020)";"https://aclanthology.org/2020.lrec-1.865.pdf"
"Korp (Copenhagen)";"https://alf.hum.ku.dk/korp/";"Querying/concordancing";"This is a web-based concordancer can be used for corpus queries based on morphosyntactic analysis and various other features. It is implemented at the University of Copenhagen.#SEPRegistration is required.";;;"Danish";"Corpus query tools";;;"CLARIN-DK";;;;
"Concordancer of Corpus Gysseling";"https://corpusgysseling.ivdnt.org/corpus-frontend/Gysseling/search/";"Querying/concordancing";"This tool is developed by the INT. The backend of the application is the <a href=""http://inl.github.io/BlackLab/"">BlackLab Lucene</a> based search engine developed for corpora with token-based annotation. The web-based frontend is a further development of the <a href=""https://github.com/INL/corpus-frontend"">corpus-frontend</a> application developed by INT in CLARIN and CLARIAH projects. Its design is inspired by the first version of the <a href=""https://opensonar.ivdnt.org/"">OpenSoNaR</a> user interface by Tilburg and Radboud University.#SEPThe <a href=""https://corpusgysseling.ivdnt.org/corpus-frontend/Gysseling/about"">Corpus Gysseling</a> is the collection of all thirteenth-century texts that served as source material for the <a href=""http://hdl.handle.net/10032/acf1047f579abaf7a2de3664a73c2e35"">Vroegmiddelnederlands Woordenboek</a> (VMNW; Dictionary of Early Middle Dutch). It is the digital edition, enriched with part of speech and lemma, of the thirteenth-century material from the <i>Corpus van Middelnederlandse teksten (tot en met het jaar 1300)</i> – Corpus of Middle Dutch texts (up to and including the year 1300) – published in the period 1977–1987 by the Ghent linguist Maurits Gysseling.";;;"Dutch";"Corpus query tools";;;"CLARIAH-NL";;;;
"Concordancer of Corpus Hedendaags Nederlands (Corpus of Contemporary Dutch) ";"https://chn.ivdnt.org/";"Querying/concordancing";"This is a dedicated query tool, built on <a href=""http://inl.github.io/BlackLab/"">BlackLab</a> software, for <a href=""https://chn.ivdnt.org/"">Corpus Hedendaags Nederlands (Corpus of Contemporary Dutch)</a>, a corpus of more than 800,000 texts taken from newspapers, magazines, news broadcasts and legal writings (1814–2013).#SEPThe corpus is a combination of the 5, 27 and 38 million word corpora and the PAROLE Corpus, supplemented with newspaper texts from NRC and De Standaard (until 2013).#SEPRegistration is required for using this tool. Shibboleth log-in is supported.";;;"Dutch";"Corpus query tools";;;"External";;;;
"Concordancer of Corpus Middelnederlands";"https://corpusmiddelnederlands.ivdnt.org/corpus-frontend/MNL/search/";"Querying/concordancing";"This is a dedicated query tool for the <a href=""https://corpusmiddelnederlands.ivdnt.org/corpus-frontend/MNL/about"">Corpus Middelnederlands</a>.";;;"Dutch";"Corpus query tools";;;"CLARIAH-NL";;;;
"GrETEL 4.0";"https://gretel.hum.uu.nl/ng/home";"Querying/concordancing (treebanks)";"GrETEL stands for Greedy Extraction of Trees for Empirical Linguistics. It is a user-friendly search engine for the exploitation of syntactically annotated corpora or treebanks. #SEPIt is possible to upload one's own corpus with this tool.";;;"Dutch";"Corpus query tools";;;"CLARIAH-NL";;;"Odijk et al. (2018)";"https://aclanthology.org/W17-7608.pdf"
"nederlab";"https://www.nederlab.nl/onderzoeksportaal/";"Querying/concordancing";"This is an online research portal for historical texts in the Dutch language.#SEPRegistration is required and Shibboleth log-in is supported.";;;"Dutch";"Corpus query tools";;;"CLARIAH-NL";;;;
