"Tool";"Tool_URL";"Functionality";"Description";;"Licence";"Licence_URL";"Language";;"Family";;;"Input_format";"Output_format";"CLARIN_Centre";"Buttons";"Buttons_URL";"Note";"Platform";"Publication";"Publication_URL"
"#LancsBox";"http://corpora.lancs.ac.uk/lancsbox/";"Concordancing/querying";"#LancsBox is a new-generation software package for the analysis of language data and corpora developed at Lancaster University. The latest version, <a href=""https://lancsbox.lancs.ac.uk/"">#lancsbox X</a> has increased functionality for XML texts.#SEPA user guide is available in English, French and Japanese, along with instructional videos. See <a href=""http://corpora.lancs.ac.uk/lancsbox/help.php"">here</a>. ";;"CC BY-NC-ND 4.0";"http://creativecommons.org/licenses/by-nc-nd/4.0/legalcode";"Language independent";;"Corpus query tools";;;;;"CLARIN-UK";;;;"Platform-independent (java)";"Brezina et al. (2015)";"https://doi.org/10.1075/ijcl.20.2.01bre"
"aConCorde";"https://www.andy-roberts.net/coding/aconcorde";"Concordancing/querying";"This is a multi-lingual concordance tool. Originally developed for native Arabic concordance, it posses basic concordance functionality, as well as English and Arabic interfaces.";;"No licence";;"Language independent";;"Corpus query tools";;;;;"External";;;;"Platform-independent (java)";;
"Antconc";"https://www.laurenceanthony.net/software/antconc/";"Concordancing/querying";"This is a freeware corpus analysis toolkit for concordancing and text analysis.#SEPOnline videos and manuals from the creator and community (<a href=""https://groups.google.com/g/AntConc"">Google Group</a>).";;"Proprietary";"https://www.laurenceanthony.net/software/antconc/releases/AntConc4011/license.pdf";"Language independent";;"Corpus query tools";;;;;"External";;;;"Linux, MacOS, Windows";;
"AntPConc";"http://www.laurenceanthony.net/software/antpconc/";"Parallel Concordancing/querying";"This is a freeware parallel corpus analysis toolkit for concordancing and text analysis using UTF-8 encoded text files.";;;;"Language independent";;"Corpus query tools";;;;;"External";;;;"Linux, MacOS, Windows";;
"CasualConc ";"https://sites.google.com/site/casualconc/";"Concordancing/querying";"This is a concordance program that runs natively on macOS 11.3 or later.and can generate KWIC concordance lines, word clusters, collocation analysis, and word count.";;"No licence";;"Language independent";;"Corpus query tools";;;;;"External";;;;"MacOS";;
"CLAN";"http://dali.talkbank.org/clan/";"Concordancing/querying";"The CLAN Programs are downloaded, installed, and used as a single application. Functionally, however, CLAN has two parts. The first part is the CLAN editor which can be used to edit files in either CHAT or CA (Conversation Analysis) format. The editor also provides a wide range of additional functions, such as audio and video playback, linkage to audio and video, fonts for Roman and non-Roman orthographies, data validation, adding codes to files, and shipping data to other programs. The second part of CLAN is the set of data analysis programs. These programs are run from a separate window called the Commands window. The results of the analytic programs are sent to the CLAN Output window.#SEPThe tool is only compatible with <a href=""https://www.talkbank.org/"">TalkBank</a> corpora that have CHAT annotation.#SEPAn <a href=""https://talkbank.org/manuals/CLAN.pdf"">online manual</a> is available.";;"GPL2 (source code)";"https://www.gnu.org/licenses/old-licenses/gpl-2.0.html";"Language independent";;"Corpus query tools";;;;;"TalkBank";;;;"Windows, MacOS, Source code provided for Linux users";;
"CLaRK";"http://bultreebank.org/bg/clark/";"Concordancing/querying, corpus building";"This tool is an XML-based system for corpus linguistics, primarily for corpus construction, but also with functionality for analysing and exploring corpora.#SEPThe support team is reachable through <a href=""mailto:clark-support@bultreebank.org"">email</a>. A <a href=""http://bultreebank.org/en/clark/clark-system-online-manual"">user manual</a> is also available. ";;;;"Language independent";;"Corpus query tools";;;;;"CLARIN-BG";;;;"Platform-independent";"Simov et al. (2014)";"http://www.lrec-conf.org/proceedings/lrec2004/pdf/258.pdf"
"Collocate ";"https://collocationary.com/";"Concordancing/querying";"This tool is a Windows software program that can be used to find collocations or terms in a corpus. It is a commercial tool.";;"No licence";;"Language independent";;"Corpus query tools";;;;;"External";;;;"Windows";;
"ConcGram";"https://benjamins.com/catalog/cls.1";"Concordancing/querying";"This tool is a corpus linguistics software package which is specifically designed to find all the co-occurrences of words in a text or corpus irrespective of variation. This is a commercial tool, available for purchase on optical disc.";;;;"Language independent";;"Corpus query tools";;;;;"External";;;;;"Greaves (2009)";"https://benjamins.com/catalog/cls.1"
"Coquery";"https://www.coquery.org/";"Concordancing/querying";"This is a free corpus query tool for linguists, lexicographers, translators, and anybody who wishes to search and analyse a text corpus. The tool works with any corpus, with installers for a number of widely used ones.";;"GPL3 ";"https://www.gnu.org/licenses/gpl-3.0.html";"Language independent";;"Corpus query tools";;;;;"External";;;;"Linux, MacOS, Windows";;
"CorpKit ";"https://interrogator.github.io/corpkit/";"Concordancing/querying";"This is a tool for doing corpus linguistics. It enables parsing, concordancing and keywording, including concordance by searching for combinations of lexical and grammatical features, and keywording of lemmas, of subcorpora compared to corpora, or of words in certain positions within clauses. corpkit leverages a number of sophisticated programming libraries, including pandas, matplotlib, scipy, Tkinter, tkintertable and Stanford CoreNLP.";;"No licence";;"Language independent";;"Corpus query tools";;;;;"External";;;;"OSX";;
"Corpus Explorer";"https://notes.jan-oliver-ruediger.de/software/corpusexplorer-overview/";"Concordancing/querying, text and data mining";"This tool is intended for corpus linguistics and for text and data mining.";;;;"Language independent";;"Corpus query tools";;;;;"External";;;;"Windows";;
"Corpus Presenter ";"https://www.uni-due.de/CP/
404 not available 02-03-2023";"Concordancing/querying, corpus compilation";"This tool can be used to compile text corpora and to carry out retrieval tasks on any corpus or selection of text files, no matter what their source or how they are organised. The tool is designed to have a maximally open architecture and can be used straight away to examine any texts users may have access to.";;"No licence";;"Language independent";;"Corpus query tools";;;;;"External";;;;"Windows";"Hickey (2003)";"https://doi.org/10.1075/z.122"
"Corpus Workbench";"https://cwb.sourceforge.io/";"Concordancing/querying";"This is a collection of open-source tools for managing and querying large text corpora (up to 2 billion words) with linguistic annotations. Its central component is the flexible and efficient query processor CQP.";;"GPL3";"https://cwb.sourceforge.io/license.php";"Language independent";;"Corpus query tools";;;;;"External";;;;"Linux, MacOS, VM images (CQPwebinABox)";;
