Corpus;Corpus_URL;Size;Annotation;Licence;Language;Description;Buttons;Buttons_URL;Publication;Publication_URL;Note
Tatoeba;http://hdl.grnet.gr/11500/ATHENA-0000-0000-2589-C;12 million tokens;tokenised, sentence aligned;CC-BY;117 languages;This corpus contains texts from the Tatoeba website.#SEP The corpus is available for download from  the CLARIN:el repository.;Download;http://hdl.grnet.gr/11500/ATHENA-0000-0000-2589-C;;;
OPUS corpus;http://opus.lingfil.uu.se/;A great many subcorpora;sentence-aligned;CC-BY;Approx. 100 languages;This corpus contains various subcorpora that compile texts from a great number of domains, such as literary texts, political documents, subtitles, UN documents, and the debates of the European Parliament.#SEPThe corpus is available for download from a dedicated webpage and through a dedicated concordancer.;Concordancer#Download;http://opus.lingfil.uu.se/bin/opuscqp.pl#SEPhttp://opus.lingfil.uu.se/;Tiedemann (2009).;https://www.clarin.eu/resource-families/parallel-corpora#Tiedemann%202009;
Parallel Bible Corpus;http://cts.informatik.uni-leipzig.de/;;;;Approx. 100 languages;This corpus contains historical and contemporary translations of the Bible.;;;;;
A parallel corpus of KDE4 localization files (v.2);http://hdl.grnet.gr/11500/ATHENA-0000-0000-258F-6;60 million tokens;tokenised, sentence aligned;CC-BY;92 languages;This corpus contains KDE4 localization files.#SEPThe corpus is available for download from the CLARIN:el repository.;Download;http://hdl.grnet.gr/11500/ATHENA-0000-0000-258F-6;;;
OpenSubtitles2011;http://hdl.grnet.gr/11500/ATHENA-0000-0000-23C4-B;8.31G tokens;tokenised, sentence and word aligned;Open For Reuse With Restrictions ;54 languages;This corpus contains subtitles from the OpenSubtitles website.#SEPThe corpus is available for download from the CLARIN:el repository.;Download;http://hdl.grnet.gr/11500/ATHENA-0000-0000-23C4-B;;;
EAC Translation Memory;http://hdl.grnet.gr/11500/ATHENA-0000-0000-258D-8;320,000 tokens;tokenised, sentence aligned;Open For Reuse With Restrictions;50 languages;This corpus contains law documents and texts related to education and culture.#SEPThe corpus is available for download through the CLARIN:el repository.;Download;http://hdl.grnet.gr/11500/ATHENA-0000-0000-258D-8;;;
DGT-TM-2016;http://hdl.grnet.gr/11500/ATHENA-0000-0000-4300-4;373 million tokens;tokenised, sentence aligned;Open For Reuse With Restrictions;Approx. 30 languages;This corpus contains texts from the European Legislation.#SEPThe corpus is available for download from the CLARIN:el repository.;Download;http://hdl.grnet.gr/11500/ATHENA-0000-0000-4300-4;;;
DGT-Acquis;http://hdl.grnet.gr/11500/ATHENA-0000-0000-2592-1;;sentence-aligned;Open For Reuse With Restrictions;23 languages;This corpus contains articles from the Official Journal of the European Union from  2004 to 2011.#SEPThe corpus is available for download from the CLARIN:el repository-;Download;http://hdl.grnet.gr/11500/ATHENA-0000-0000-2592-1;;;
Official Journal of the European Union;http://hdl.grnet.gr/11500/ATHENA-0000-0000-23E1-A;;partial paragraph and sentence alignment;"""other""";23 languages;This corpus contains articles from the Official Journal of the European Union.;;;;;For access, contact the resource managers.
JRC-Acquis Multilingual Parallel Corpus;https://ec.europa.eu/jrc/en/language-technologies/jrc-acquis;1 billion tokens;tokenised, sentence-aligned;;22 languages;This corpus contains legislative and legal texts from the Acquis Communautaire from various periods beginning in the 1950s.#SEPThe corpus is available for download from the webpage of the European Commission.;Download;http://ec.europa.eu/jrc/en/language-technologies/jrc-acquis;Steinberger et al. (2014).;https://www.clarin.eu/resource-families/parallel-corpora#Steinberger%20et%20al.%202014];
A parallel corpus collected from the European Constitution;http://hdl.grnet.gr/11500/ATHENA-0000-0000-258B-A;3 million tokens;tokenised, sentence aligned;Open For Reuse With Restrictions;21 languages;This corpus contains European Constitution documents.#SEPThe corpus is available for download through the CLARIN:el repository.;Download;http://hdl.grnet.gr/11500/ATHENA-0000-0000-258B-A;;;
Europarl Parallel Corpus;http://hdl.handle.net/11372/LRT-395;650,000 tokens;tokenised, sentence-aligned;CC-ZERO;21 languages;This corpus contains debates of the European Parliament from 1996 to 2011.#SEP The corpus is available for download from the corpus webpage.;Download;http://www.statmt.org/europarl/;;;
ECDC Translation Memory;http://hdl.grnet.gr/11500/ATHENA-0000-0000-24DA-2;320,000 tokens;tokenised, sentence-aligned;Open For Reuse With Restrictions;Approx. 20 languages;This corpus contains texts from the public health domain.#SEPThe corpus is available for download from the CLARIN:el repository.;Download;http://hdl.grnet.gr/11500/ATHENA-0000-0000-24DA-2;;;
