Corpus;Corpus_URL;Language;Size;Annotation;Licence;Licence_URL;Description;Family;Buttons;Buttons_URL;Publication;Publication_URL;Note
"""PolDiLemma"" Middle Polish Diachrone Lemmatised Corpus";http://hdl.handle.net/11858/00-246C-0000-0023-8C44-B;Czech, German, Latin, Polish;7 million tokens;tokenised, lemmatised;CC BY-NC-SA 4.0;;This corpus contains political, religious and scientific texts from the 16th to the 18th century.#SEPThe corpus is available for download from the CLARIN-D repository.;Historical corpora;Download;http://hdl.handle.net/11858/00-246C-0000-0023-8C44-B;;;
Medieval Charter Sections Corpus;http://hdl.handle.net/11234/1-1952;Czech, Latin;57 chapters;manually-tagged, named entities;CC-BY-NC-SA 4.0;;This corpus contains Latin charters created in the era of John the Bling, King of Bohemia.#SEPThe corpus is available for download from LINDAT.;Historical corpora;Download;http://hdl.handle.net/11234/1-1952;Galuščáková and Neužilová (2018).;https://www.clarin.eu/resource-families/historical-corpora#Galu%C5%A1%C4%8D%C3%A1kov%C3%A1%20and%C2%A0Neu%C5%BEilov%C3%A1%202018;
Anthology of Middle English texts / Santiago Gonzalez y Fernandez-Corugedo;http://hdl.handle.net/20.500.14106/1398;English (Middle), Hebrew;4000 words;no linguistic annotation;Oxford Text Archive licence;;This corpus contains literary texts from 1100 to 1400.#SEPThe corpus is available for download from the Oxford Text Archive.;Historical corpora;Download;http://hdl.handle.net/20.500.14106/1398;;;
Dictionary of Old English Corpus in Electronic Form (DOEC);http://hdl.handle.net/20.500.14106/2488;English (Old), Latin;;no linguistic annotation;Oxford Text Archive licence;;This corpus contains 3037 texts from 600 to 1150.#SEPThe corpus is available for download from the Oxford Text Archive.;Historical corpora;Download;http://hdl.handle.net/20.500.14106/2488;;;
The York-Toronto-Helsinki Parsed Corpus of Old English prose (YCOE);http://hdl.handle.net/20.500.14106/2462;English (Old), Latin;1.5 million words;syntactically-parsed;Oxford Text Archive licence;;This corpus contains fictional texts from 600 to 1150.#SEPThe corpus is available for download from the Oxford Text Archive.;Historical corpora;Download;http://hdl.handle.net/20.500.14106/2462;;;
Hamburg Corpus of Old Swedish with Syntactic Annotations (HaCOSSA);http://hdl.handle.net/11022/0000-0000-9D16-7;English, German, Latin, Old Norse, Swedish;128,000 words;MSD-tagged, syntactically parsed;CLARIN RES;;This corpus contains texts written in the Late Old Swedish period (from 1375 to 1550).#SEPThe corpus is available for download from the repository of the University of Hamburg.;Historical corpora;Download;http://hdl.handle.net/11022/0000-0000-9D16-7;;;
The Electronic Text Corpus of Sumerian Literature. Revised edition;http://hdl.handle.net/20.500.14106/2518;English, Sumerian;5,151,373 words;Each word form in the composite transliterations has been assigned to a lexeme which is specified by a citation form, word class information and basic English translation.;CC-BY-NC-SA 3.0;;This corpus contains transliterations and English translations of 394 Sumerian compositions from approximately 2100 to 1700 BCE.#SEPThe corpus is available for download from the Oxford Text Archive.;Historical corpora;Download;http://hdl.handle.net/20.500.14106/2518;;;
Finnish Folk Poetry;http://urn.fi/urn:nbn:fi:lb-2014052712;Finnish, Karelian, Ludian, Latin, Swedish, Olonets, Izhorian, Votic;7.1 million words;normalised (added diacritics);CC-BY-NC;;This corpus contains poems from 1564 to 1939.#SEPThe corpus is available through the concordancer Korp.;Historical corpora;Concordancer;http://urn.fi/urn:nbn:fi:lb-2014052711;;;
Corpus of Early Modern Finnish, Kielipankki Version;http://urn.fi/urn:nbn:fi:lb-20140730147;Finnish, Russian, German, Latin;8.6 million words;no linguistic annotation;EUPL v.1.1 SA;;This corpus contains texts from 1809 to 1899.#SEPThe corpus is available through the concordancer Korp.;Historical corpora;Concordancer;http://urn.fi/urn:nbn:fi:lb-2016081203;;;
Aleksis Kivi Corpus (SKS);http://urn.fi/urn:nbn:fi:lb-201405274;Finnish, Swedish;413,700 words;MSD-tagged, syntactically parsed;CC-BY-NC;;This corpus contains the works by Finnish author Aleksis Kivi from 1855 to 1871.#SEPThe corpus is available through the concordancer Korp.;Historical corpora;Concordancer;http://urn.fi/urn:nbn:fi:lb-201405273;;;
Classics Library of the National Library of Finland - Kielipankki version;http://urn.fi/urn:nbn:fi:lb-2018051701;Finnish, Swedish;;;CC-BY;;This corpus will contain literary texts from 1549 to 1944.;Historical corpora;;;;;
The Letters of Paul Sinebrychoff, Kielipankki Version;http://urn.fi/urn:nbn:fi:lb-201407303;Finnish, Swedish;8.6 million words;"Finnish subset: MSD-tagged, syntactically parsed; Swedish subset: no linguistic annotation";CC-BY;;This corpus contains letters from 1895 to 1909.#SEPThe corpus is available through a dedicated online search environment.;Historical corpora;Concordancer;http://kirjearkisto.siff.fi/Sinebrychoff/tabid/55/Default.aspx;;;
The Newspaper and Periodical Corpus of the National Library of Finland, Kielipankki Version;http://urn.fi/urn:nbn:fi:lb-201405276;Finnish, Swedish;8.7 billion words;;CC-BY;;This corpus contains newspaper articles from 1770 to 2011.#SEPThe corpus is available through the concordancer Korp.;Historical corpora;Concordancer;http://urn.fi/urn:nbn:fi:lb-201405275;;;
The Newspaper and Periodical OCR Corpus of the National Library of Finland (1771-1874);http://urn.fi/urn:nbn:fi:lb-2015051201;Finnish, Swedish;;;CC-BY;;This corpus contains newspaper articles from 1771 to 1874.;Historical corpora;Download;http://urn.fi/urn:nbn:fi:lb-201505112;;;
The Newspaper and Periodical OCR Corpus of the National Library of Finland (1875-1920);http://urn.fi/urn:nbn:fi:lb-201801192;Finnish, Swedish;8.7 billion tokens;tokenised;CLARIN ACA;;This corpus contains newspaper articles from 1875 to 1920.#SEPThe corpus is available for download from the Language Bank of Finland.;Historical corpora;Download;http://urn.fi/urn:nbn:fi:lb-201801191;;;
Carniolan Provincial Assembly corpus Kranjska 1.0;http://hdl.handle.net/11356/1824;German, Slovenian;10.9 million words;tokenised, MSD-tagged, lemmatised;CC-BY 4.0;;"The corpus contains meeting proceedings of 694 sessions of the Carniolan Provincial Assembly from 1861 to 1913.#SEPThe source data (scanned and OCR processed pdf documents) originally come from <a href=""http://www.dlib.si"">The Digital Library of Slovenia dLib.si</a> and <a href=""https://www.sistory.si"">History of Slovenia - SIstory</a> portals. The documents are bilingual, in Slovenian and German, depending on the speaker. German was first typeset in the Gothic script and later on in Latin.#SEPThe documents were automatically processed and the following data extracted: titles, agenda, attending, start and end of the session, speakers, and comments. Language was detected on the sentence level, roughly 58% sentences are in Slovenian and 42% in German. Linguistic annotation (tokenisation, MSD tagging and lemmatisation) was added using <a href=""https://github.com/nlp-uoregon/trankit"">Trankit</a> for Slovenian and German, while <a href=""https://github.com/pemistahl/lingua-py"">Lingua</a> is used for language detection.#SEPThe documents are in the <a href=""https://github.com/clarin-eric/parla-clarin"">Parla-CLARIN</a> compliant TEI XML format. Each session in one file.";Historical corpora;Download;http://hdl.handle.net/11356/1824;Marolt et al. (2023);https://doi.org/10.5281/zenodo.8108048;
B4 Tatian Corpus of Deviating Examples 2.1;http://hdl.handle.net/11022/0000-0000-9B1E-1;Latin, German (Old High);11,300 tokens;tokenised, MSD-tagged;CC-BY;;This corpus contains the OHG Tatian, which is one of the largest prose texts from the Old High German period.#SEPThe corpus is available for download and through a concordancer from the repository of the University of Hamburg.;Historical corpora;Concordancer#SEPDownload;http://annis.corpora.uni-hamburg.de:8080/gui/sfb632#SEPhttp://hdl.handle.net/11022/0000-0000-9B1E-1;;;
Språkbanken's historical corpora;https://spraakbanken.gu.se/korp/?mode=all_hist#?lang=en&stats_reduce=word&cqp=%5B%5D;Swedish, German, French and others;1.34 billion tokens;tokenised, PoS-tagged, lemmatised, syntactically parsed, word sense (for materials more recent than 1800);CC-BY;;This collection of corpora contains – among others – diachronic legal texts, Bible translations, medieval letters, digitized newspapers from the Swedish National Library and 19th century fiction from the Swedish Literature Bank.#SEPThe corpora are available through the concordancer Korp.;Historical corpora;Concordancer;http://spraakbanken.gu.se/korp/?mode=all_hist#?lang=en&stats_reduce=word&cqp=%5B%5D;;;
Parliamentary corpus of first Yugoslavia (1919-1939) yu1Parl 1.0;http://hdl.handle.net/11356/1845;Croatian, Serbian, Slovenian;"34,542 utterances; 578,958 sentences; 13,271,885 words; 15,403 pages";tokenised, MSD-tagged, lemmatised;CC BY 4.0;;"This historical parliamentary corpus contains meeting proceedings of the National Representation of the Kingdom of Yugoslavia from 191 to 1939. The corpus comprises 714 sessions.#SEPThe source data (scanned images of printed Stenographic Minutes) come from the <a href=""https://www.sistory.si"">History of Slovenia - SIstory</a> portal. The images were OCR processed and the results saved as pdf, docx and txt. The documents are multilingual, in Serbo-Croatian and Slovenian, depending on the speaker. Serbo-Croatian is typeset in the Cyrillic (Serbian) or in the Latin (Croatian) alphabet.#SEPThe documents were automatically processed and the following data extracted: titles, agenda, attending, start and end of the session, speakers, and comments. <a href=""https://github.com/pemistahl/lingua-py"">Lingua</a> was used for language detection on the sentence level. Roughly 59% of sentences are in Serbian (Cyrillic script), 38% in Croatian (Latin script) and 3% in Slovenian. Some sentences in German and French were also detected. Linguistic annotation (tokenisation, MSD tagging and lemmatisation) was added using <a href=""https://github.com/clarinsi/classla"">CLASSLA</a> for Serbian, Croatian and Slovenian. Words in Serbian (Cyrillic script) have lemmas in Latin script.#SEP The corpus is available for download from the CLARIN.SI repository as well as for online browsing through the noSketch Engine and KonText concordancers.";Historical corpora;Concordancer (noSketch)#SEPConcordancer (KonText)#SEPDownload;https://www.clarin.si/ske/#dashboard?corpname=yu1parl#SEPhttps://www.clarin.si/kontext/query?corpname=yu1parl#SEPhttp://hdl.handle.net/11356/1845;;;
