"Tool";"Tool_URL";"Functionality";"Description";"Licence";"Licence_URL";"Language";"Family";"Buttons";"Buttons_URL";"CLARIN_Centre";"Note";"Platform";"Publication";"Publication_URL"
"Voyant Tools (home)";"https://voyant-tools.org/";"Querying/concordancing, Stylometry";"This is a web-based text reading and analysis environment. It is a scholarly project that is designed to facilitate reading and interpretive practices for digital humanities students and scholars as well as for the general public. #SEPIt is possible to upload one's own corpus with this tool.#SEPThe interface is available in <a href=""https://voyant-tools.org/docs/#!/guide/languages"">a number of languages</a>. An <a href=""https://voyant-tools.org/docs/#!/guide/about"">online user</a> guide is available. ";"GPL3 (code)";;"Arabic, Bosnian, Croatian, Czech, English, French, German, Hebrew, Italian, Japanese, Portuguese, Russian, Serbian, Spanish";"Corpus query tools";;;"External";;;;
"Concordancer of Corpus Hedendaags Nederlands (Corpus of Contemporary Dutch) ";"https://chn.ivdnt.org/";"Querying/concordancing";"This is a dedicated query tool, built on <a href=""http://inl.github.io/BlackLab/"">BlackLab</a> software, for <a href=""https://chn.ivdnt.org/"">Corpus Hedendaags Nederlands (Corpus of Contemporary Dutch)</a>, a corpus of more than 800,000 texts taken from newspapers, magazines, news broadcasts and legal writings (1814–2013).#SEPThe corpus is a combination of the 5, 27 and 38 million word corpora and the PAROLE Corpus, supplemented with newspaper texts from NRC and De Standaard (until 2013).#SEPRegistration is required for using this tool. Shibboleth log-in is supported.";;;"Dutch";"Corpus query tools";;;"External";;;;
"PaQu";"https://paqu.let.rug.nl:8068/";"Querying/concordancing (treebanks)";"This is an application for searching in treebanks (i.e. text corpora in which each sentence has been assigned a syntactic structure) and for analysing the search results. #SEPIt is possible to upload one's own corpus with this tool, for which registration is required.";;;"Dutch";"Corpus query tools";;;"External";;;"Odijk et al. (2017)";"https://doi.org/10.5334/bbi.23"
"CoANZSE Audio";"https://coanzse.org/landing/index.html";"Querying/concordancing";"This is a dedicated concordancer for the <a href=""https://cc.oulu.fi/~scoats/CoANZSE.html"">Corpus of Australian and New Zealand Spoken English</a>.#SEPThe corpus contains 195 million words of geolocated automatic speech recognition transcripts of video content from local governments in Australia and New Zealand, created for the study of lexical, grammatical, phonetic, and discourse-pragmatic phenomena of spoken language. Additionally, the corpus contains complete textual content of the corpus, audio files and forced alignments in <a href=""https://www.fon.hum.uva.nl/praat/manual/TextGrid.html"">Praat's TextGrid</a> format for most transcripts.#SEPThe corpus can be accessed through the <a href=""https://www.clarin.eu/content/service-provider-federation"">CLARIN Service Provider Federation</a>.";;;"English";"Corpus query tools";;;"External";;;"Coats (2022)";"https://aclanthology.org/2022.alta-1.1/"
"english-corpora.org";"https://www.english-corpora.org/byu-corpora.asp";"Querying/concordancing";"This is a tool for browsing the corpora available on <a href=""https://english-corpora.org"">english-corpora.org</a>, which are formerly known as the BYU or Brigham Young University copora.";;;"English";"Corpus query tools";;;"External";;;"English Corpora";"https://www.english-corpora.org/faq.asp#cite"
"Compleat Lexical Tutor";"https://www.lextutor.ca/";"Querying/concordancing, corpus upload and analysis";"This tool includes a concordancer, vocabulary profiler, exercise maker, interactive exercises, and much more. #SEPIt is possible to upload one's own corpus with this tool (10 MB limit";" up to 1.5 million words).";;"English, French";"Corpus query tools";;;"External";;;;
"SKell (SKetch Engine for language learners)";"https://skell.sketchengine.eu/";"Querying/concordancing";"This is a simple tool for students and teachers of English to easily check whether or how a particular phrase or a word is used by real speakers of English.";;;"English, Russian, German, Italian, Czech, Estonian";"Corpus query tools";;;"External";;;"Baisa and Suchomel (2014)";"https://www.muni.cz/en/research/publications/1210697"
"TXM";"https://groupes.renater.fr/wiki/txm-users/public/references_portails";"Querying/concordancing";"This tool corresponds to a number of different TXM portals running at various sites and with a number of different corpora. TXM offers online analysis tools for querying language corpora. The interface is in French. ";;;"French, English";"Corpus query tools";;;"External";;;;
"CATMA";"http://catma.de/";"Querying/concordancing, corpus upload and analysis";"The acronym CATMA stands forComputer Assisted Text Markup and Analysis.#SEPIt is possible to upload one's own corpus with this tool.";;;"German";"Corpus query tools";;;"External";;;;
"Webcorp";"https://www.webcorp.org.uk/live/";"Querying/concordancing";"This is a dedicated concordancing tool.";;;"Language independent";"Corpus query tools";;;"External";;;;
