"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Language";"Description";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Arabic Speech Corpus";"http://hdl.handle.net/20.500.12024/2561";;;"CC BY 4.0";"Arabic";"This corpus is available for download from the Oxford Text Archive.";"Download";"http://hdl.handle.net/20.500.12024/2561";"Halabi (2016)";"https://www.clarin.eu/resource-families/spoken-corpora#Halabi%202016";
"Audioatlas Siebenbuergisch-Saechsischer Dialekte";"http://hdl.handle.net/11022/1009-0000-0001-27B9-3";"450,000 words";"Geomapping, orthographic/partial phonetic transcription, semantic labelling";"CLARIN RES";"Bavarian, German, Romanian";"This corpus contains 2274 recordings (approx. 360h) of spoken dialectal German (Saxonian) recorded in Transilvania (Romania) in approx. 250 different locations. This up-to-now unpublished material has been collected on analog tape in the 1960s and 70s by different linguists based at the universities of Bukarest, Hermannstadt and Klausenburg.";"Download";"http://hdl.handle.net/11022/1009-0000-0001-27B9-3";;;
"Spoken corpus of Karel Makoň";"http://hdl.handle.net/11234/1-3422";"1000 hours";;"CC BY-SA 3.0";"Czech";"This corpus contains talks on Christian mysticism given by Karel Makoň.#SEPThe corpus is available for download from LINDAT.";"Download";"http://hdl.handle.net/11234/1-3422";;;
"Prague DaTabase of Spoken Czech 1.0";"http://hdl.handle.net/11234/1-2375";"770,000 tokens, 7324 minutes";"MSD-tagged, lemmatised";"CC BY-NC SA 4.0";"Czech";"This corpus contains spontaneous dialogue.#SEPThe corpus is available for download from LINDAT.";"Download";"http://hdl.handle.net/11234/1-2375";"Hajič et al. (2008)";"https://www.clarin.eu/resource-families/spoken-corpora#Haji%C4%8D%20et%20al.%202008";
"OVM – Otázky Václava Moravce";"http://hdl.handle.net/11858/00-097C-0000-000D-EC98-3";"35 hours";"word-by-word transcriptions, including the transcription of some non-speech events";"CC BY-NC 3.0";"Czech";"This corpus contains transcribed recordings from the Czech political discussion broadcast “Otázky Václava Moravce“.#SEPThe corpus is available for download from LINDAT and through the concordancer KonText.";"Concordancer#SEPDownload";"https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=ovm_cs_w#SEPhttp://hdl.handle.net/11858/00-097C-0000-000D-EC98-3";;;
"ORTOFON v1: balanced corpus of informal spoken Czech with multi-tier transcription (transcriptions & audio)";"http://hdl.handle.net/11234/1-2579";"1 million words";"orthographically and phonetically transcribed; MSD-tagged, lemmatised";"Academic Licence Agreement for Czech National Corpus Data";"Czech";"This corpus contains informal conversations.#SEPThe corpus is available for download from LINDAT and through the concordancer KonText.";"Concordancer#SEPDownload";"https://kontext.korpus.cz/first_form?corpname=ortofon_v1#SEPhttp://hdl.handle.net/11234/1-2579";"Komrsková et al. (2018)";"https://www.clarin.eu/resource-families/spoken-corpora#Komrskov%C3%A1%20et%20al.%202018";
"ORAL2013: balanced corpus of informal spoken Czech (transcriptions & audio)";"http://hdl.handle.net/11234/1-1848";"2.8 million words";"recordings and transcripts anonymised";"Academic Licence Agreement for Czech National Corpus Data";"Czech";"This corpus contains informal conversations.#SEPThe corpus is available for download from LINDAT and through the concordancer KonText.";"Concordancer#SEPDownload";"https://kontext.korpus.cz/first_form?corpname=oral2013#SEPhttp://hdl.handle.net/11234/1-1848";"Benešová et al. (2015)";"https://www.clarin.eu/resource-families/spoken-corpora#Bene%C5%A1ov%C3%A1%20et%20al.%202015";
"DIALEKT v1: dialectal corpus with multi-tier transcription";"https://wiki.korpus.cz/doku.php/en:cnk:dialekt";"100,000 words";"orthographically and phonetically (dialect features) transcribed, MSD-tagged, lemmatised";"Academic Licence Agreement for Czech National Corpus Data";"Czech";"This corpus contains traditional dialectological material, mostly unprepared monologue-type speech.#SEPThe corpus is available download (upon request) and through the concordancer KonText.";"Concordancer#SEPDownload";"https://kontext.korpus.cz/first_form?corpname=dialekt_v1_dial#SEPhttp://wiki.korpus.cz/doku.php/en:cnk:dialekt";"Komrsková et al. (2018)";"https://www.clarin.eu/resource-families/spoken-corpora#Komrskov%C3%A1%20et%20al.%202018";
"Czech Malach Cross-lingual Speech Retrieval Test Collection";"http://hdl.handle.net/11234/1-1912";"592 hours";"manual annotations of selected topics and interviews' metadata";"CC BY-NC-ND 4.0";"Czech, English, French, German, Spanish";"This corpus contains interviews with survivors of the Holocaust.#SEPThe corpus is available for download from LINDAT.";"Download";"http://hdl.handle.net/11234/1-1912";;;
"JASMIN Speech Corpus";"http://hdl.handle.net/10032/tm-a2-j7";"115 hours";"PoS-tagged, lemmatised, phonetically transcribed";"CLARIN RES";"Dutch";"The corpus contains recordings of human-machine interaction and read speech performed by children, non-native speakers and senior people.#SEPThe corpus is available download from the Dutch Language Institute.";"Download";"http://hdl.handle.net/10032/tm-a2-j7";;;
"IFA Spoken Language Corpus";"http://hdl.handle.net/11372/LRT-734";"50,000 words (41 minutes/speaker)";"Hand-segmented speech";"CLARIN PUB";"Dutch";"The corpus is available for download from an informal webpage.";"Download";"http://hdl.handle.net/11372/LRT-734";;;
"MultiCHannel Articulatory database: English";"http://hdl.handle.net/11022/1009-0000-0007-C2B1-5";"5 hours";"orthographically transcribed, Electromagnetic Articulography";"CLARIN PUB";"English";"This coprus features a set of 460 short sentences designed to include the main connected speech processes in English (e.g. assimilations, weak forms ...). All recordings made in the same sound damped studio at the Edinburgh Speech Production Facility based in the department of Speech and Language Sciences, Queen Margaret University College, UK. The database contains audio files, laryngograph waveforms, electromagnetic articulograph (EMA) tracks and electropalatograph (EPG) tracks. ";"Download";"http://hdl.handle.net/11022/1009-0000-0007-C2B1-5";;;
"ELFA Corpus";"http://urn.fi/urn:nbn:fi:lb-201403262";"13 hours";;"CLARIN RES, MS-C-No ReD-ND-FF";"English";"This corpus contains recorded lectures and seminars.#SEPThe corpus is available for download from FIN-CLARIN.";"Download";"http://urn.fi/urn:nbn:fi:lb-2014052721";;;
"Buckeye Corpus of Conversational Speech";"http://hdl.handle.net/11041/sldr000776";;"phonetic labels";"CLARIN RES";"English";"This corpus contains an interview.#SEPThe corpus is available for download from ORTOLANG.";"Download";"http://hdl.handle.net/11041/sldr000776";"Pitt et al. (2005)";"https://www.clarin.eu/resource-families/spoken-corpora#Pitt%20et%20al.%202005";
"Boston University Radio Speech Corpus";"https://catalog.ldc.upenn.edu/LDC96S36";"7 hours";"PoS-tagged, phonetic alignment, prosodic markers";"CLARIN RES";"English";"This corpus contains recordings and texts from radio news.";"Download";"http://catalog.ldc.upenn.edu/LDC96S36";;;
"Air Traffic Control Communication";"http://hdl.handle.net/11858/00-097C-0000-0001-CCA1-0";"20 hours";"speaker information";"CC BY-NC-ND 3.0";"English";"This corpus contains recordings of communication between air traffic controllers and pilots#SEPThe corpus is available for download from LINDAT and through the concordancer KonText.";"Concordancer#SEPDownload";"https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=airtraffic_en_w#SEPhttp://hdl.handle.net/11858/00-097C-0000-0001-CCA1-0";;;
"Phonetic Corpus of Estonian Spontaneous Speech v.1.0.4";"http://hdl.handle.net/10.15155/1-00-0000-0000-0000-00154L";"635,000 words, 90 hours";"orthographically and phonetically transcribed, syllables, prosodic feet, intonation phrases, changes in voice quality";"CLARIN_RES";"Estonian";"This corpus contains spontaneous speech by speakers with different dialectological and social backgrounds.#SEPThe corpus is available for download from META-SHARE (CELR distribution).";"Download";"http://hdl.handle.net/10.15155/1-00-0000-0000-0000-00154L";;;
"Estonian North Wind and the Sun Corpus v.1.0.3";"http://hdl.handle.net/10.15155/1-00-0000-0000-0000-00129L";;"word segmentation and phonemes in SAMPA";;"Estonian";"This corpus contains recordings of the tale “Põhjatuul ja päike” (North Wind and the Sun) read by the same speakers who participated in the Phonetic Corpus of Estonian Spontaneous Speech.#SEPThe corpus is available for download from META-SHARE (CELR distribution).";"Download";"http://hdl.handle.net/10.15155/1-00-0000-0000-0000-00129L";;;
"Estonian Emotional Speech Corpus ";"http://hdl.handle.net/10.15155/3-00-0000-0000-0000-0001AL";"1234 sentences";;"CC-BY";"Estonian";"This corpus contains read sentences that express anger, joy and sadness, or are neutral.#SEPTThe corpus is available for download from META-SHARE (CELR distribution).";"Download";"http://hdl.handle.net/10.15155/3-00-0000-0000-0000-0001AL";"Altrov and Pajupuu (2012)";"https://www.clarin.eu/resource-families/spoken-corpora#Altrov%20and%20Pajupuu%202012";
"Estonian Dialect Corpus";"http://hdl.handle.net/10.15155/1-00-0000-0000-0000-00076L";"1.3 million words";"phonetically transcribed, MSD-tagged, partly syntactically parsed";"CLARIN ACA";"Estonian";"This corpus contains interviews.#SEPThe corpus is available for download from META-SHARE (CELR distribution).";"Download";"http://hdl.handle.net/10.15155/1-00-0000-0000-0000-00076L";;;
"Corpus of Radio News";"http://hdl.handle.net/10.15155/9-00-0000-0000-0000-00021L";"19 hours";"speech annotation to orthographically transcribed";;"Estonian";"This corpus contains public broadcast news.#SEPThe corpus is available for download from META-SHARE (CELR distribution).";"Download";"http://hdl.handle.net/10.15155/9-00-0000-0000-0000-00021L";;;
"Corpus of Radio Interviews";"http://hdl.handle.net/10.15155/9-00-0000-0000-0000-00022L";"36 hours";"speech annotation to orthographically transcribed";"CC-BY";"Estonian";"This corpus contains telephone interviews from different radio programmes.#SEPThe corpus is available for download from META-SHARE (CELR distribution).";"Download";"http://hdl.handle.net/10.15155/9-00-0000-0000-0000-00022L";;;
"Corpus of Lecture Speech";"http://hdl.handle.net/10.15155/9-00-0000-0000-0000-00023L";"41 hours";"orthographically transcribed";"CC-BY-SA";"Estonian";"This corpus contains recordings of academic lectures and oral conference presentations.#SEPThe corpus is available for download from a dedicated webpage.";"Download";"http://hdl.handle.net/10.15155/9-00-0000-0000-0000-00023L";;;
"Faroese Danish Corpus Hamburg 0.2.dan (FADAC-0.2.dan Hamburg)";"http://hdl.handle.net/11022/0000-0000-A0D3-C";;"<a href=""https://exmaralda.org/en/2018/11/26/eadh-workshop-annotation-of-digital-oral-data-collections-in-the-humanities-and-social-sciences-3/"">EXMARaLDA</a>";"HZSK-RES (restricted, non-commercial only)";"Faroese, Danish";"This corpus contains informal interviews.";;;;;
"The Longitudinal Corpus of Finnish Spoken in Helsinki (1970s, 1990s and 2010s)";"http://urn.fi/urn:nbn:fi:lb-2014073041";"210 hours";;"restricted";"Finnish";"This corpus contains interviews.#SEPThe corpus is available for online querying through the LAT platform and through the concordancer Korp.";"LAT platform";"http://urn.fi/urn:nbn:fi:lb-100110016072";;;
"The Finnish Dialect Syntax Archive";"http://urn.fi/urn:nbn:fi:lb-2014052716";"1.2 million words";"MSD-tagged";"CC-BY-NC-ND";"Finnish";"This corpus contains interviews.#SEPThe corpus is available for online querying through the LAT platform and through the concordancer Korp.";"Concordancer#SEPLAT platform";"http://urn.fi/urn:nbn:fi:lb-2014052715#SEPhttp://urn.fi/urn:nbn:fi:lb-1001100111532";;;
"Samples of Spoken Finnish";"http://urn.fi/urn:nbn:fi:lb-201407141";"100 hours";"syntactically parsed (TDT alpha), named entities (FiNER), PoS-tagged, lemmatized; orthographically transcribed";"CC-BY";"Finnish";"This corpus contains interviews.#SEPThis corpus is available for online querying through the LAT platform and through the concordancer Korp.";"Concordancer#SEPLAT platform";"http://urn.fi/urn:nbn:fi:lb-2015040101#SEPhttp://urn.fi/urn:nbn:fi:lb-1001100134";;;
"Route to A wing";"http://urn.fi/urn:nbn:fi:lb-2014101401";"218 tokens";"PoS-tagged";"CC-0";"Finnish";"This corpus contains spontaneous conversations.#SEPThis corpus is available for online querying through the concordancer Korp.";"Concordancer";"http://urn.fi/urn:nbn:fi:lb-2015050502";;;
"Follow-up Study of Dialects of Finnish";"http://urn.fi/urn:nbn:fi:lb-2014073043";"12,200 Hours";;"CLARIN RES";"Finnish";"This corpus contains interviews.#SEPThis corpus is available for online querying through the LAT-platform.";"LAT platform";"http://urn.fi/urn:nbn:fi:lb-100110017700";;;
"Finnish Broadcast Corpus";"http://urn.fi/urn:nbn:fi:lb-201403265";"18 hours";;"CLARIN RES";"Finnish";"This corpus contains radio and TV broadcasts.#SEPThe corpus is available for download from FIN-CLARIN and for online querying through the LAT-platform.";"Concordancer#SEPDownload";"http://urn.fi/urn:nbn:fi:lb-1001100133#SEPhttp://urn.fi/urn:nbn:fi:lb-2016021201";;;
"Aalto University DSP Course Conversation Corpus 2013-2016, Downloadable Version";"http://urn.fi/urn:nbn:fi:lb-2017092133";"5200 utterances";;"CLARIN ACA";"Finnish";"This corpus contains spontaneous conversations.#SEPThe corpus is available for download from FIN-CLARIN.";"Download";"http://urn.fi/urn:nbn:fi:lb-201708251";;;
"The Corpus of Border Karelia";"http://urn.fi/urn:nbn:fi:lb-2014073033";"120 hours";;"CC-BY";"Finnish, Karelian";"This corpus contains interviews.#SEPThe corpus is available for download from FIN-CLARIN.";"Download";"http://www.uef.fi/fi/finka/finka";;;
"Plenary Sessions of the Parliament of Finland";"http://urn.fi/urn:nbn:fi:lb-201407305";"22.5 million words";;"CC-BY-NC-ND";"Finnish, Swedish";"This corpus contains the proceedings of the Finnish Parliament.#SEPThe corpus is available through a dedicated webpage and through the concordancer Korp.";"Concordancer#SEPDownload";"http://urn.fi/urn:nbn:fi:lb-2017020201#SEPhttps://www.eduskunta.fi/FI/lakiensaataminen/taysistunnon_verkkolahetykset/tallenteet/Sivut/default.aspx";;;
"Phonologie du Français Contemporain";"http://cocoon.huma-num.fr/exist/crdo/ark:/87895/1.17-794340";;;"CC-BY";"French";"This corpus is available for download from a dedicated webpage.";"Download";"https://cocoon.huma-num.fr/exist/crdo/ark:/87895/1.17-794340";;;
"Corpus of Orleans";"http://purl.org/poi/crdo.vjf.cnrs.fr/cocoon-5569b8dc-b40f-3ccd-95d1-86d20a1a836c";;;"CC BY-NC-SA 3.0";"French";"This corpus contains recordings of the everyday speech of Orléans residents between 1969 and 1974.#SEPThe corpus is available for download from the Huma-num repository.";"Download";"https://doi.org/10.34847/cocoon.5569b8dc-b40f-3ccd-95d1-86d20a1a836c";;;
"Corpus for the Study of Contemporary French";"https://hdl.handle.net/11403/cefc-orfeo/v1";"10 million words, 350 hours";"orthographically aligned, PoS-tagged";"CC-BY 4.0";"French";"This corpus contains debates, classroom interactions, literary and scientific texts, regional and national press, etc.#SEP The corpus is available for through a dedicated concordancer.";"Concordancer";"https://repository.ortolang.fr/api/content/cefc-orfeo/4/documentation/site-orfeo/index.html";;;
"Corpus de Français Parlé Parisien des années 2000";"http://hdl.handle.net/10670/1.g2c5ba";;;"CC-BY";"French";"This corpus contains interviews.#SEPThe corpus is available for download from a dedicated webpage.";"Download";"https://hdl.handle.net/10670/1.g2c5ba";;;
"CLAPI";"http://hdl.handle.net/11403/CLAPI";"323,595 words";;"CC BY-NC-SA 4.0 ";"French";"This is a collection containing around 40 corpora which contain social interactions in different contexts: professional, private, institutional, commercial, medical, and educational situations.#SEPMost of the corpora can be downloaded and queried through a dedicated concordancer.";"Concordancer";"http://clapi.icar.cnrs.fr/";;;
"Zweite Generation deutschsprachiger Migranten in Israel";"http://hdl.handle.net/10932/00-0332-C453-CEDC-B601-2";"125 hours";"orthographically transcribed, code switching";"CLARIN RES";"German";"This corpus contains interviews in German extraterritorial varieties.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-0332-C453-CEDC-B601-2#SEPhttp://hdl.handle.net/10932/00-0332-C453-CEDC-B601-2";;;
"Vowel Production in Cochlear Implant Patients";"http://hdl.handle.net/11022/1009-0000-0001-AFA1-4";"2 hours";"orthographically transcribed";"CLARIN ACA";"German";"This corpous contains German speech recordings of 48 cochlear implant users (CI) and 48 speakers without hearing impairment (control group, KG). It contains recordings used for the analysis of sevel long, lexically stressed vowels in the words 'Taten', 'stetig', 'Toter', 'Stute', 'töten', 'Tüte' and 'kriegen'. ";"Download";"http://hdl.handle.net/11022/1009-0000-0001-AFA1-4";;;
"Voice Onset Time in Cochlear Implant Patients (diachronic data)";"http://hdl.handle.net/11022/1009-0000-0000-A9CB-D";"unknown";"orthographically transcribed";"CLARIN ACA";"German";"This corpus contains diachronic speech recordings from three cochlear implant (CI) users. For data used in the corresponding synchronic study, please refer to the CI_2 corpora.  CI_3_Sibilants contains recordings used for the analysis of /s/ and /ʃ/ in the following words: 'Tasse', 'Tasche'. CI_3_VOT contains recordings used for the analysis of voice onset time in /t/ in the word 'teilen'.";"Download";"http://hdl.handle.net/11022/1009-0000-0000-A9CB-D";;;
"Voice Onset Time in Cochlear Implant Patients";"http://hdl.handle.net/11022/1009-0000-0001-AE7E-F";"35 min";"orthographically transcribed";"CLARIN ACA";"German";"This corpous contains German speech recordings of 48 cochlear implant users (CI) and 48 speakers without hearing impairment (control group, KG). It contains recordings used for the analysis of voice onset time in /t/ in the word 'teilen'. ";"Download";"http://hdl.handle.net/11022/1009-0000-0001-AE7E-F";;;
"The Zurich Tangram Corpus - UZH Edition";"http://hdl.handle.net/11022/1009-0000-0007-D838-7";"48 hours";"orthographically transcribed, turn segmentation";"CLARIN ACA";"German";"This corpus contains tasks, where one subject (the instructor) describes different Tangram figures to another subject (the receiver) so that the receiver can recreate the same order of figures that the instructor has in front of them. The subjects initially don't know each other and work together to solve these tasks in three consecutive sessions. This edition features the complete recordings, but lacking phone and word segmentation. Subjects audio tracks are combined into stereo files. If you would like just the transcribed segments with separate files for the subjects or want the word and phone segmentation see corpus ZTC_BAS.";"Download";"http://hdl.handle.net/11022/1009-0000-0007-D838-7";;;
"The Zurich Tangram Corpus - BAS Edition";"http://hdl.handle.net/11022/1009-0000-0007-D89D-5";"48 hours";"orthographically transcribed, word and phonemic segmentation";"CLARIN ACA";"German";"This corpus contains tasks, where one subject (the instructor) describes different Tangram figures to another subject (the receiver) so that the receiver can recreate the same order of figures that the instructor has in front of them. The subjects initially don't know each other and work together to solve these tasks in three consecutive sessions. This edition only features the transcribed segments, not those in between, and uses separate files for the subject.";"Download";"http://hdl.handle.net/11022/1009-0000-0007-D89D-5";;;
"The Karl-Eberhard-Corpus of spontaneously spoken conversations in Southern German";"http://hdl.handle.net/11022/1009-0000-0007-DADB-D";"40 hours";"orthographically transcribed";"CLARIN ACA";"German";"This corpus contains 79 speakers of Southern German. Two speakers, usually acquainted with each other, had an one hour long conversation in separate booths. ";"Download";"http://hdl.handle.net/11022/1009-0000-0007-DADB-D";;;
"Spoken production of gender-neutral nouns in German";"http://hdl.handle.net/11022/1009-0000-0003-FF39-F";"2 hours";"orthographically transcribed";"CLARIN PUB";"German";"This corpus examines the pronunciation of different genderneutral forms in German. Various source texts were used, like newspaper articles, websites, etc.";"Download";"http://hdl.handle.net/11022/1009-0000-0003-FF39-F";;;
"SmartWeb Motorbike Corpus SMC";"http://hdl.handle.net/11022/1009-0000-0005-C50F-D";"6.3 hours";"orthographically transcribed";"CLARIN ACA";"German";"The corpus comprises a collection of user queries to a naturally spoken Web interface with the main focus on the soccer world series in 2006. The SMC corpus itself contains 36 mobile recordings performed on a BMW motorbike.";"Download";"http://hdl.handle.net/11022/1009-0000-0005-C50F-D";;;
"SmartKom Public";"http://hdl.handle.net/11022/1009-0000-0007-EC8B-3";"11 hours";"orthographically transcribed, phonemic, gestures, mimic, emotions";"CLARIN ACA";"German";"This corpus contains multi modal recordings of 86 actors who use the SmartKom system. SmartKom Public is comparable to a traditional public phone booth but equipped with additional intelligent communication devices. Naive users were asked to test a 'prototype' for a market study not knowing that the system was in fact controlled by two human operators. They were asked to solve two tasks in a period of 4,5 min while they were left alone with the system. The instruction was kept to a minimum; in fact the user only knew that the system is able to understand speech, gestures and even mimical expressions and should more or less communicate like a human.";"Download";"http://hdl.handle.net/11022/1009-0000-0007-EC8B-3";;;
