"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Licence_URL";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Map task corpus of heritage BCMS 1.0";"http://hdl.handle.net/11356/1750";"12,988 tokens";"PoS-tagged (UD), MSD-tagged (UD & MULTEXT-East), lemmatised, annotated with corpus-specific annotations";"CC BY-NC-SA 4.0";;"Bosnian, Croatian, Montenegrin, Serbian ";"This corpus of heritage Bosnian/Croatian/Montenegrin/Serbian (BCMS) consists of elicited conversations (map tasks) by 29 second-generation BCMS speakers originating from different regions of former Yugoslavia and living in German-speaking Switzerland. The corpus is suited for researchers of heritage BCMS, as well as students and teachers of BCMS living in diaspora.#SEPThe corpus contains 30 turn-aligned transcripts with an average length of 6 minutes. The texts are annotated with the <a href=""https://github.com/clarinsi/classla"">CLASSLA pipeline</a> on the levels lemmatisation, MULTEXT-East Version 6 morphosyntactic descriptions, Universal Dependencies part-of-spech and morphological features. The corpus is enriched with corpus-specific annotations of truncations, elongations, stutter and code-switches. It is distributed in source TEI and derived vertical formats.#SEPThe corpus is available for download from CLARIN.SI as well as through the noSketchEngine and KonText concordancers.";"Spoken corpora";"Concordancer (noSketchEngine)#SEPConcordancer (KonText)#SEPDownload";"https://www.clarin.si/ske/#dashboard?corpname=maptask_bcms&struct_attr_stats=1#SEPhttps://www.clarin.si/kontext/query?corpname=maptask_bcms#SEPhttp://hdl.handle.net/11356/1750";;;
"ORAL2008: Balanced corpus of informal spoken Czech";"http://hdl.handle.net/11858/00-097C-0000-0023-119D-A";"1 million tokens";;"CC BY-NC-SA 3.0";;"Czech";"This corpus contains informal conversations.#SEPThe corpus is available for download from LINDAT and through the concordancer KonText.";"Spoken corpora";"Concordancer#SEPDownload";"https://kontext.korpus.cz/first_form?corpname=oral2008#SEPhttp://hdl.handle.net/11858/00-097C-0000-0023-119D-A";"Benešová et al. (2015)";"https://www.clarin.eu/resource-families/spoken-corpora#Bene%C5%A1ov%C3%A1%20et%20al.%202015";
"ORTOFON v1: balanced corpus of informal spoken Czech with multi-tier transcription (transcriptions)";"http://hdl.handle.net/11234/1-2580";"1 million tokens";"orthographically and phonetically transcribed, MSD-tagged, lemmatised";"CC BY-NC-SA 4.0";;"Czech";"This corpus contains informal conversations.#SEPThe corpus is available for download from LINDAT and through the concordancer KonText.";"Spoken corpora";"Concordancer#SEPDownload";"https://kontext.korpus.cz/first_form?corpname=ortofon_v1#SEPhttp://hdl.handle.net/11234/1-2580";"Komrsková et al. (2018)";"https://www.clarin.eu/resource-families/spoken-corpora#Komrskov%C3%A1%20et%20al.%202018";
"Prague Dependency Treebank of Spoken Language (PDTSL) 0.5";"http://hdl.handle.net/11858/00-097C-0000-0001-4914-D";"120,000 words";"syntactic dependencies";"ACADEMIC (PDTSL)";;"Czech";"This corpus is available for download from LINDAT.";"Spoken corpora";"Download";"http://hdl.handle.net/11858/00-097C-0000-0001-4914-D";;;
"Languages in Migration";"http://hdl.handle.net/11372/LRT-4777";;"syntactic dependencies";"Czech National Corpus (Shuffled Corpus Data)";;"Czech, German";"This corpus is a representation of authentic spoken Czech and German.#SEP It contains transcriptions of informal speech (private environment, spontaneity, unpreparedness etc.) by Czech-German bilingual speakers born in Czechoslovakia around 1955 and who departed for Germany after becoming 12 years old. The corpus is composed of interviews conducted from 2018–2020 with 20 speakers on language biographies and narrated in Czech and German respectively.#SEPThe corpus is available for download from LINDAT and for online browsing through the KonText concordancer.";"Spoken corpora";"Concordancer#SEPDownload";"https://www.korpus.cz/kontext/query?corpname=jazyky_v_migraci#SEPhttp://hdl.handle.net/11372/LRT-4777";"this list of publications";"https://bruecken.ff.cuni.cz/magazin/2-28-2021/";
"ParCorFull: A Parallel Corpus Annotated with Full Coreference";"http://hdl.handle.net/11372/LRT-2614";"160,000 tokens";"coreference (nominal and clausal)";"CC BY-NC-ND 4.0";;"English, German";"This corpus contains planned speech and newswire.#SEPThe corpus is available for download from LINDAT.";"Spoken corpora";"Download";"http://hdl.handle.net/11372/LRT-2614";;;
"The Spoken Wikipedia Corpora";"http://hdl.handle.net/11022/0000-0007-C641-0";"1005 hours";"text segmentation, normalization, time-alignment";"CC-BY SA 4.0";;"English, German, Dutch";"This corpus contains transcripts of read Wikipedia articles#SEPThe corpus is available for download from a CLARIN-D repository.";"Spoken corpora";"Download";"http://hdl.handle.net/11022/0000-0007-C641-0";"Köhn et al. (2016)";"https://www.clarin.eu/resource-families/spoken-corpora#K%C3%B6hn%20et%20al.%202016";
"Corpus of Spoken Estonian";"http://hdl.handle.net/11372/LRT-253";"1 million words";"unspecified tagging";;;"Estonian";"This corpus contains transcripts of recordings from various domains.";"Spoken corpora";;;;;
"ALCEBLA";"http://hdl.handle.net/11022/0000-0000-50DD-D";"72 hours";"orthographic and phonetic transcription";"HZSK-RES (restricted, non-commercial only)";;"German, Spanish";"This corpus contains Speech tasks performed by bilingual children.";"Spoken corpora";;;"Ulloa Saceda et al. (2012)";"https://www.clarin.eu/resource-families/spoken-corpora#Ulloa%20Saceda%20et%20al.%202012";
"Corpus of Doctor-Patient Conversations from Ahus";"https://www.hf.uio.no/iln/english/about/organization/text-laboratory/projects/doctor-patient/index.html";"958,830 tokens";"orthographically transcribed, MSD-tagged, lemmatised";"CLARIN ACA";;"Norwegian";"This corpus contains doctor-patient conversations.#SEPThe corpus is available through a Tekstlab concordancer (account needed).";"Spoken corpora";"Concordancer";"http://tekstlab.uio.no/glossa/html/?corpus=legepasient";;;
