"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Licence_URL";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Pan-Latin Lexicon of Collars and Sleeves in Fashion and Costume";"http://hdl.handle.net/20.500.11752/OPEN-987";"74 entries";;"CC BY-SA 4.0";;"Catalan, English, French, Galician, Italian, Portuguese, Romanian, Spanish ";"This terminological glossary, which is developed with the <a href=""https://www.realiter.net/"">Realiter network</a>, contains terms related to fashion. This lexicon can be downloaded from the ILC4CLARIN  repository.";"Glossaries";"Download";"http://hdl.handle.net/20.500.11752/OPEN-987";;;
"Pan-Latin Geothermal Energy Lexicon";"http://hdl.handle.net/20.500.11752/OPEN-995";"125 entries";;"CC BY-SA 4.0";;"Catalan, English, French, Galician, Italian, Portuguese, Romanian, Spanish ";"This terminological glossary, which is developed with the <a href=""https://www.realiter.net/"">Realiter network</a>, contains terms related to geothermal energy. This lexicon can be downloaded from the ILC4CLARIN  repository.";"Glossaries";"Download";"http://hdl.handle.net/20.500.11752/OPEN-995";;;
"Pan-Latin Photovoltaic Systems Lexicon";"http://hdl.handle.net/20.500.11752/OPEN-994";"187 entries";;"CC BY-SA 4.0";;"Catalan, English, French, Galician, Italian, Portuguese, Romanian, Spanish ";"This terminological glossary, which is developed with the <a href=""https://www.realiter.net/"">Realiter network</a>, contains terms related to <a href=""https://en.wikipedia.org/wiki/Photovoltaics"">photovoltaic</a> systems.#SEPThe lexicon can be downloaded from the ILC4CLARIN repository.";"Glossaries";"Download";"http://hdl.handle.net/20.500.11752/OPEN-994";;;
"Pan-Latin Smart City Lexicon";"http://hdl.handle.net/20.500.11752/OPEN-993";"123 entries";;"CC BY-SA 4.0";;"Catalan, English, French, Galician, Italian, Portuguese, Romanian, Spanish ";"This terminological glossary, which is developed with the <a href=""https://www.realiter.net/"">Realiter network</a>, contains terms related to <a href=""https://en.wikipedia.org/wiki/Smart_city"">the Smart City</a> concept.#SEPThe lexicon can be downloaded from the ILC4CLARIN repository.";"Glossaries";"Download";"http://hdl.handle.net/20.500.11752/OPEN-993";;;
"Glossary e-book ""Open Linked Data and Applications""";"http://hdl.grnet.gr/11500/IONION-0000-0000-25E7-2";"100 semantic units";;"CC-BY";;"English, Greek";"This glossary is available for download from clarin:el.";"Glossaries";"Download";"http://hdl.grnet.gr/11500/IONION-0000-0000-25E7-2";;;
"Glossary of Medical Terms";"http://hdl.grnet.gr/11500/AUTH-0000-0000-2C49-E";"3,750 words";;"CC-BY";;"English, Greek";"This is a glossary of medical terms. The resource is available for download from clarin:el.";"Glossaries";"Download";"http://hdl.grnet.gr/11500/AUTH-0000-0000-2C49-E";;;
"Multilingual glossary (Department of Foreign Languages, Translation and Interpretation)";"http://hdl.grnet.gr/11500/IONION-0000-0000-3D44-0";;"lemmas";"CC-BY-NC";;"English, Greek";"This is a general-purpose glossary that is available for download from clarin:el.";"Glossaries";"Download";"http://hdl.grnet.gr/11500/IONION-0000-0000-3D44-0";;;
"Netterms. Computer networking terminology";"http://hdl.grnet.gr/11500/IONION-0000-0000-250F-7";"205 entries";;"CC-BY";;"English, Greek";"This is glossary of terms related to computer networking available for download from clarin:el.";"Glossaries";"Download";"http://hdl.grnet.gr/11500/IONION-0000-0000-250F-7";;;
"The English-Estonian Maritime Dictionary";"http://doi.org/10.15155/3-00-0000-0000-0000-05BE2L";"30,000 keywords";;"CLARIN ACA";;"Estonian, English";"This glossary contains nautical terms. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Glossaries";"Browse#SEPDownload";"http://www.eki.ee/dict/meri/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-05BE2L";;;
"MILITERM (20180801)";"http://doi.org/10.15155/3-00-0000-0000-0000-07024L";;;"CC-BY";;"Estonian, English, Finnish, French, German";"MILITERM is a multilingual termbase of military, security and defence terms, enabling search by Estonian, English, French and German keywords. The Estonian and English terms are provided with definitions. The resource is available for online browsing.";"Glossaries";"Browse";"http://termin.eki.ee/militerm/";;;
"ESTERM (20190101)";"http://doi.org/10.15155/3-00-0000-0000-0000-07BDAL";"53,327 concepts";;"CC-BY";;"Estonian, English, Finnish, French, German, Russian";"This is a termbase that includes terms mainly from the legal acts of the Republic of Estonia and the European Union. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Glossaries";"Browse#SEPDownload";"http://termin.eki.ee/esterm/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-07BDAL";;;
"The Dictionary of Education";"http://doi.org/10.15155/3-00-0000-0000-0000-05BDEL";"4,850 keywords";;"CLARIN ACA";;"Estonian, English, German, Finnish, Russian";"This is a comprehensive glossary of education terminology. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Glossaries";"Browse#SEPDownload";"http://www.eki.ee/dict/haridus/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-05BDEL";;;
"The Helsinki Term Bank for the Arts and Sciences";"http://urn.fi/urn:nbn:fi:lb-20140730152";"growing";;"CC-BY-SA";;"Finnish, multilingual";"This is a terminological database available for online browsing through FIN-CLARIN.";"Glossaries";"Browse";"http://tieteentermipankki.fi/";;;
"French-greek and greek-french lexicon of football terms";"http://hdl.grnet.gr/11500/UOA-0000-0000-2573-5";"843 entries";;"CC-BY – ND";;"French-Greek";"This bilingual glossary of football terminology is available for download from clarin:el.";"Glossaries";"Download";"http://hdl.grnet.gr/11500/UOA-0000-0000-2573-5";;;
