Corpus,Corpus_URL,Size,Annotation,Licence,Language,Description,Buttons,Buttons_URL,Publication,Publication_URL,Note
ParCor - A Parallel Pronoun-Coreference Corpus,http://opus.lingfil.uu.se/ParCor/,,pronoun coreference,,English-German,This corpus contains TED talks and EU Bookshop publications.#SEPThe corpus is available for download from the OPUS webpage.,Download,http://opus.lingfil.uu.se/ParCor/,Guillou et al. (2014).,https://www.clarin.eu/resource-families/parallel-corpora#Guillou%20et%20al.%202014,
Parallel English-Irish corpus of legal texts,http://www.gaois.ie/crp/en/,,sentence aligned ,,English-Irish,This corpus contains legal texts.#SEPThe corpus is available  through a dedicated concordancer.,Concordancer,http://www.gaois.ie/crp/en/,,,
The NAACL 2003 English-Romanian corpus,http://metashare.ilsp.gr:8080/repository/browse/the-naacl-2003-english-romanian-corpus/32d0c7f8dc7311e5aa0b00237df3e358c04f795d2d29477cbd7e46971ebdead6/,1.6 million tokens,,MS-BY-NC-ND,English-Romanian,The corpus contains texts from 2003.,,,,,"For access, contact the resource managers."
The English-Swedish Parallel Corpus,http://www.sol.lu.se/engelska/corpus/corpus/espc.html#structure,3.5 million tokens,"tokenised, paragraph aligned",,English-Swedish,This corpus contains fictional and non-fictional texts. It is bidirectional.,,,,,"For access, contact the resource managers."
Estonian Open Parallel Corpus 2012. Estonian-English,http://metashare.tilde.com/repository/browse/estonian-open-parallel-corpus-2012-estonian-english/1ebafd00a96111e5aa3b001dd8b71c66ec3a43cb0e0f4669b64f85347efd43a7/,2.5 million tokens,tokenised,CC-BY,Estonian-English,"This corpus contains Biblical and legal texts.#SEPThe corpus is available for download from <a href=""https://www.clarin.eu/glossary#META-SHARE"" title=""Network of repositories resulting from the META-NET Network of Excellence (http://www.meta-share.eu/)
"" class=""lexicon-term"">META-SHARE.</a>",Download,http://metashare.tilde.com/repository/download/1ebafd00a96111e5aa3b001dd8b71c66ec3a43cb0e0f4669b64f85347efd43a7/,,,
Linguatools Webcrawl Parallel Corpus German-English 2015,http://catalog.elra.info/product_info.php?products_id=1262,,,ELRA END USER/ELRA VAR,German-English,This corpus contains texts crawled from the web from 2013 to 2015.#SEPThe corpus is available for download from the ELRA catalogue.,Download,http://catalog.elra.info/product_info.php?products_id=1262,,,
The TRIS corpus,http://clara.b.uib.no/fellows/carla-parra-escartin/tris/,1.76 million tokens,"tokenised, sentence-aligned",,German-Spanish,This corpus contains texts from the European Commission from 1997 to 2010.#SEPThe corpus is available for download from a dedicated webpage.,Download,http://clara.b.uib.no/fellows/carla-parra-escartin/tris/,Parra Escartín (2012).,https://www.clarin.eu/resource-families/parallel-corpora#Parra%20Escart%C3%ADn%202012,
LILA parallel corpus,http://tekstynas.vdu.lt/page.xhtml?id=parallelLILA,8 million tokens,"tokenised, sentence-aligned",,Lithuanian-Latvian,This corpus contains fictional and non-fictional texts from 1991 to 2012. It is bidirectional.#SEP The corpus is available through a dedicated concordancer.,Concordancer,http://www.korpuss.lv/lila/,Utka et al. (2012).,https://www.clarin.eu/resource-families/parallel-corpora#Utka%20et%20al.%202012,
Manually aligned CES Polish-English parallel corpus,http://metashare.ilsp.gr:8080/repository/browse/manually-aligned-ces-polish-english-parallel-corpus/314b93d26b0011e284b6000423bfd61c36a51e4b609742288e99ba691f07dfdb/,1.4 million tokens,"tokenised, sentence-aligned",CC-BY,Polish-English,This corpus contains CES reports.#SEPThe corpus is available for download from a dedicated webpage.,Download,http://metashare.ilsp.gr:8080/repository/browse/manually-aligned-ces-polish-english-parallel-corpus/314b93d26b0011e284b6000423bfd61c36a51e4b609742288e99ba691f07dfdb/,,,
Slovak-English Parallel Corpus,https://metashare.korpus.sk/repository/browse/slovak-english-parallel-corpus-free/719fe518665b11e2b2e800163e0000784f67c82f54f44ce3b06749baf33bfbd2/,556 million tokens,"tokenised, sentence-aligned",proprietary,Slovak-English,This corpus contains texts from language books. It is bidirectional.#SEPThe corpus is available through a dedicated concordancer. ,Concordancer,http://korpus.juls.savba.sk/sken.html,,,
