"Corpus";"Corpus_URL";"Language";"Size";"Annotation";"Licence";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Korpusbasierte Analyse österreichischer Parlamentsreden";;"German (Austrian)";"1.2 million tokens";"tokenised, PoS-tagged";;"The corpus contains Austrian parliamentary debates from 2013 to 2015. It is annotated with the It's <a href=""https://nlp.stanford.edu/software/tagger.shtml"">Stanford Tagger</a>. #SEPThe corpus currently is not available.";"Parliamentary corpora";;;"Sippl et al. (2016)";"https://www.clarin.eu/resource-families/parliamentary-corpora#Sippl%20et%20al.%202016";
"The ParlSpeech V2 data set";"https://doi.org/10.7910/DVN/L4OAKN";"German, Czech, Danish, Dutch, English, Spanish, Swedish";"6.3 million parliamentary speeches";"date, speaker, party, agenda item metadata";"CC0";"The corpus contains complete parliamentary speeches in the key legislative chambers of Austria, the Czech Republic, Germany, Denmark, the Netherlands, New Zealand, Spain, Sweden, and the United Kingdom, covering periods between 21 and 32 years.#SEPThe corpus is available for download from the Harvard Dataverse repository.";"Parliamentary corpora";"Download";"http://doi.org/10.7910/DVN/L4OAKN";;;
"Corpus of Bulgarian Political and Journalistic Speech";"http://www.political.webclark.org/?locale=bg";"Bulgarian";"10 million tokens";"tokenised, PoS-tagged, lemmatised";;"The corpus contains Bulgarian parliamentary debates from 2006 to 2012. #SEPThe corpus is available through a dedicated concordancer.";"Parliamentary corpora";"Concordancer";"http://www.political.webclark.org/?locale=bg";;;
"The Chinese/English Political Interpreting Corpus (CEPIC)";"https://digital.lib.hkbu.edu.hk/cepic/";"Chinese, English";"6.5 million words";"PoS-tagged, prosodic and paralinguistic features";"<a href=""https://digital.lib.hkbu.edu.hk/cepic/terms.php"">Terms of Use</a>";"The CEPIC consists of transcripts of speeches delivered by top political figures from Hong Kong, Beijing, Washington DC and London, as well as their translated/interpreted texts.#SEPThe main speech types of CEPIC include the reading of government reports such as policy addresses and budget speeches, Q&A at press conferences, parliamentary debates, as well as remarks delivered at bilateral meetings.#SEPThe corpus features a parallel display of up to six versions of the same speech segment, aligned at paragraph level.#SEPThe corpus is available for online querying through a dedicated concordancer.";"Parliamentary corpora";"Concordancer";"https://digital.lib.hkbu.edu.hk/cepic/search.php";"Pan (2019)";"https://www.clarin.eu/resource-families/parliamentary-corpora#Pan%202019";
"CzechParl";"https://www.muni.cz/en/research/publications/914268";"Czech";"81.9 million tokens";"tokenised, MSD-tagged and lemmatised";;"The corpus contains Czech parliamentary debates from 1993 to 2010. It is annotated with It's <a href=""https://nlp.fi.muni.cz/projekty/ajka/"">ajka</a>. #SEPThe corpus is available through the Sketch Engine.";"Parliamentary corpora";"Concordancer";"https://the.sketchengine.co.uk/login/?next=%2Fcorpus%2Ffirst_form%3Fcorpname%3Dpreloaded%2Fczechparl2012%3B";"Jakubíček and Kovář (2010)";"https://www.clarin.eu/resource-families/parliamentary-corpora#Jakub%C3%AD%C4%8Dek%20and%20Kov%C3%A1%C5%99%202010";
"DutchParl";"http://search.politicalmashup.nl/about.html";"Dutch";"800 million tokens";"tokenised, PoS-tagged, lemmatised";;"The corpus contains Dutch parliamentary debates from 1814 to 2014. It is annotated with It's <a href=""https://github.com/proycon/python-frog"">Frog</a>. See also It's <a href=""http://schema.politicalmashup.nl/"">information on the schema</a> used. #SEPThe corpus is available for download (the authors needs to be contacted) and is also accessible online through the Political Mashup environment.";"Parliamentary corpora";"Concordancer#SEPDownload";"http://search.politicalmashup.nl/#SEPhttp://data.politicalmashup.nl/permanent/";"Marx and Schuth (2010)";"https://www.clarin.eu/resource-families/parliamentary-corpora#Marx%20and%20Schuth%202010";
"German Parliamentary Corpus (GerParCor)";"https://github.com/texttechnologylab/GerParCor";"German";;"tokenised, PoS-tagged, lemmatised, sentence segmented, NER-tagged, morphology, dependency parsed";"AGPL-3.0 Licence";"This corpus contains (mostly historical) German-language parliamentary proceedings from the 19th, 20th, and 21th centuries, including state and federal-level data. Additionally, the corpus contains conversions of scanned protocols and, in particular, of protocols in <a href=""https://en.wikipedia.org/wiki/Fraktur"">Fraktur</a> converted via an OCR process based on <a href=""https://github.com/tesseract-ocr/tesseract"">Tesseract</a>. All protocols were preprocessed by means of the NLP pipeline <a href=""https://spacy.io/usage/v3/"">spaCy v3</a> and automatically annotated with metadata regarding their session date. The corpus is made available in the XML format of the <a href=""https://uima.apache.org/"">UIMA project</a>.#SEPThe corpus is available for download from GitHub.";"Parliamentary corpora";"Download";"https://github.com/texttechnologylab/GerParCor";"Abrami et al. (2022)";"https://www.clarin.eu/resource-families/parliamentary-corpora#abramietal2022";
"HanDeSeT: Hansard Debates with Sentiment Tags";"https://data.mendeley.com/datasets/xsvp45cbt4/2";"English";"1251 motion-speech units taken from 129 separate debates";"sentiment tags";"Open Parliament Licence V3.0 and Open Data Commons Open Database License (OdbL)";"This corpus contains English parliamentary debates from 1997 to 2017. #SEPThe corpus is available for download from a dedicated webpage. ";"Parliamentary corpora";"Download";"https://data.mendeley.com/datasets/xsvp45cbt4/2";"Abercrombie and Batista-Navarro (2018)";"https://www.clarin.eu/resource-families/parliamentary-corpora#Abercrombie%20and%20Batista-Navarro%202018";
"UKParl Dataset";"https://federiconanni.com/%20ukparl/";"English";"354,400 tokens";"fine-grained topic annotation, additional semantic information (entity links)";;"This corpus contains British parliamentary debates of the House of Commons from 2013 to 2016. #SEPThe corpus is available for download from Google Drive.";"Parliamentary corpora";"Download";"https://drive.google.com/file/d/1XRsGl8HHW2DUsuRxfajT3ycRIJN_MrE8/view?usp=sharing";"Nanni et al. (2018)";"https://www.clarin.eu/resource-families/parliamentary-corpora#Nanni%20et%20al.%202018";
"polmineR corpus";"https://github.com/PolMine";"German";"Only a small sample available";;;"A small sample is available for download from the GitHub webpage of the corpus.";"Parliamentary corpora";"Download";"http://github.com/PolMine";;;
