"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Licence_URL";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Concreteness and imageability lexicon MEGA.HR-Crossling";"http://hdl.handle.net/11356/1187";"7,237,589 entries";"concreteness prediction, imageability prediction";"CC-BY-SA 4.0";;"77 languages";"These lexica contain concreteness and imageability predictions for 77 languages. They are available for download from CLARIN.SI.";"Lexica";"Download";"http://hdl.handle.net/11356/1187";"Ljubešić et al. (2018)";"https://www.clarin.eu/resource-families/lexical-resources-lexica#Ljube%C5%A1i%C4%87%20et%20al.%202018";
"Emoji Sentiment Ranking 1.0";"http://hdl.handle.net/11356/1048";"751 entries (emojis)";"sentiment labels";"CC-BY-SA 4.0";;"Albanian, Bulgarian, English, German, Hungarian, Polish, Portuguese, Russian, Serbo-Croatian, Slovak, Slovenian, Spanish, Swedish";"This is a lexicon of emojis available for download from CLARIN.SI and for online browsing through a dedicated environment.";"Lexica";"Browse#SEPDownload";"http://kt.ijs.si/data/Emoji_sentiment_ranking/#SEPhttp://hdl.handle.net/11356/1048";"Kralj Novak et al. (2015)";"https://www.clarin.eu/resource-families/lexical-resources-lexica#Kralj%20Novak%20et%20al.%202015";
"OMBI Dutch-Arabic";"http://hdl.handle.net/10032/tm-a2-b5";"37,000 entries";;"other";;"Arabic, Dutch";"This is a bilingual lexicon that is suitable for language technology applications such as automatic translation, e-learning, multilingual information retrieval, etc. The resource is available for download from the Dutch Language Institute (INT).";"Lexica";"Download";"http://hdl.handle.net/10032/tm-a2-b5";;;
"MULTEXT-East free lexicons 4.0";"http://hdl.handle.net/11356/1041";"3,665,864 entries";"MSD-tags, lemmas";"CC-BY-SA 4.0";;"Bulgarian, Czech, English, Estonian, French, Hungarian, Romanian, Slovak, Slovenian, Ukrainian";"These are morphological lexica available for download from the CLARIN.SI repository.";"Lexica";"Download";"http://hdl.handle.net/11356/1041";"Erjavec (2011)";"https://www.clarin.eu/resource-families/lexical-resources-lexica#Erjavec%202011";
"CzEngClass 0.2";"http://hdl.handle.net/11234/1-2824";"200 classes, 3,525 entries";"valency and synonymy";"CC-BY-NC-SA 4.0";;"Czech, English";"This is a valency lexicon linked to PDT-Vallex, EngVallex and external resources, such as FrameNet, VerbNet, WordNet, etc. The resource is available for download and online browsing through LINDAT.";"Lexica";"Browse#SEPDownload";"http://ufal.mff.cuni.cz/czengclass#SEPhttp://hdl.handle.net/11234/1-2824";;;
"CzEngVallex";"http://hdl.handle.net/11234/1-1512";"20,835 pairs (verb senses)";"verb valency";"CC-BY-NC-SA 4.0";;"Czech, English";"This is a valency lexicon linked to the parallel PCEDT corpus. The resource is available for download and online browsing through LINDAT.";"Lexica";"Browse#SEPDownload";"http://lindat.mff.cuni.cz/services/CzEngVallex/#SEPhttp://hdl.handle.net/11234/1-1512";"Fučíková et al. (2016)";"https://www.clarin.eu/resource-families/lexical-resources-lexica#Fu%C4%8D%C3%ADkov%C3%A1%20et%20al.%202016";
"CroaTPAS";"http://catalog.elra.info/en-us/repository/browse/ELRA-M0108/";"683 verb senses; 22.677 annotated corpus lines";;;;"Croatian, English";"This is a manually created verb sense lexicon.";"Lexica";;;;;
"The LiLaH Emotion Lexicon of Croatian, Dutch and Slovene";"http://hdl.handle.net/11356/1318";"14,182 entries";"word sentiment";"CC-BY-NC-SA 4.0";;"Croatian, Dutch, Slovenian";"This lexicon contains manual translations of the <a href=""http://saifmohammad.com/WebPages/NRC-Emotion-Lexicon.htm"">NRC Emotion Lexicon</a>, which encodes the sentiment of a word (positive, negative) and its emotion association (anger, anticipation, disgust, fear, joy, sadness, surprise, trust) for Croatian, Dutch and Slovene with a binary schema. Manual translations were produced by inspecting and correcting the automatic translations from English provided with the original lexicon. While translations to all 14,182 entries are provided for Slovene and Croatian, only translations for the 6,468 entries that have any sentiment or emotion associated with the word are given for Dutch.#SEPThe resource is available for download from the CLARIN.SI repository.";"Lexica";"Download";"http://hdl.handle.net/11356/1318";;;
"OMBI Arabic-Dutch";"http://hdl.handle.net/10032/tm-a2-b3";"37,000 entries";;"other";;"Dutch, Arabic";"This is a bilingual lexicon for language technology applications such as automatic translation, e-learning, multilingual information retrieval, etc. The resource is available for download from the Dutch Language Institute (INT).";"Lexica";"Download";"http://hdl.handle.net/10032/tm-a2-b3";;;
"OMBI Dutch-Danish";"http://hdl.handle.net/10032/tm-a2-b4";"46,000 entries";;"other";;"Dutch, Danish";"This is a bilingual lexicon for language technology applications such as automatic translation, e-learning, multilingual information retrieval, etc. The resource is available for download from the Dutch Language Institute (INT).";"Lexica";"Download";"http://hdl.handle.net/10032/tm-a2-b4";;;
