"Corpus";"Corpus_URL";"Language";"Size";"Annotation";"Licence";"Description";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"British Sign Language Corpus";"https://bslcorpusproject.org/";"British Sign Language (BSL)";"BSL video data from 249 deaf signers of BSL";"yes";;"The British Sign Language Corpus is a collection of British Sign Language (BSL) video clips of 249 deaf signers from the UK. The BSL Corpus project is based at the Deafness Cognition and Language Research Centre, University College London, lasted from 2008–2011 and was led by Adam Schembri. A related dataset is the BSL Signbank. ";"Download";"https://bslcorpusproject.org/cava/";"Schembri, A.,  et al. (2012)";"https://www.jstage.jst.go.jp/article/jasl/21/0/21_5/_article/-char/ja/";
"Corpus of the Danish Sign Language Dictionary";"https://dsn.dk/dansk-tegnsprog/oplysning-raadgivning-og-dokumentation/tools-and-resources-within-danish-sign-language/";"Danish Sign Language (DTS)";"4.5 hours";"ID-glosses and (ideally) sense indicators";"Only for internal use (= the dictionary staff) and guest researchers";"This corpus consists of video material from 31 signers of DTS from Denmark. The Corpus is used to build a DTS-Danish Dictionary. The Danish Sign Language Dictionary project building the corpus is based at the Bachelor’s Degree Programme in Danish Sign Language and Speech-to-text Interpreter at the University College Copenhagen and led by Mads Jonathan Pedersen and Thomas Troelsgård. The project started 2014 and is still ongoing.";;;"Kristoffersen and Troelsgaard (poster)";"https://bslcorpusproject.org/wp-content/uploads/Kristoffersen_Troelsgaard_poster_handout.pdf";
"IPROSLA";"https://hdl.handle.net/1839/00-CE31E27F-8853-4A18-80E8-AECAFAD012C0";"Dutch Sign Language (NGT)";"Around 500 hours";"Unannotated";"Restricted end user license for academic use only.";"This corpus contains three sets of data. The first is a set of longitudinal data of deaf children from deaf and hearing parents that has been collected at the UvA since the late 1980s. The second is a new collection of longitudinal data collected at the RU from hearing and deaf children of deaf parents (2008–2020). Thirdly, data collected in an educational context by Nini Hoiting at the Kentalis Guyot school. ";"Browse";"https://hdl.handle.net/1839/00-CE31E27F-8853-4A18-80E8-AECAFAD012C0";;;
"Corpus of Finnish Sign Language";"http://r.jyu.fi/AB7";"Finnish Sign Language (FinSL), Finnish";"14 hours 22 minutes";"ID-glosses and translations";"CC BY-NC-SA 4.0";"The corpus consists of video-recorded conversations and elicited narratives from 21 Finnish Sign Language signers who belong to different age groups and live in different parts of Finland. The signers perform seven fixed tasks which are <ul><li>introductions</li>, <li>discussing work/hobbies,</li> <li>narrating about short cartoon strips,</li><li>narrating about a video,</li><li>narrating a story from the picture book</li><em>The Snowman or Frog, Where are you?</em>,</li><li>discussing a topic related to the deaf world, and</li><li>free discussion (e.g. on travel, sports)</li></ul>. All of the video data (14.5 hours by six camera angles) has been annotated for signs and translations. According to the tasks performed by the signers, the corpus has been divided into two subcorpora: one that contains the elicited narratives, and another that contains the conversations.#SEPThe corpus is available for download from the Meta-Share (FIN-CLARIN Distribution).";"Download";"http://urn.fi/urn:nbn:fi:lb-2019012321";"Salonen et al. (2020)";"https://lrec2020.lrec-conf.org/media/proceedings/Workshops/Books/SIGN2020book.pdf";
"Corpus Vlaamse Gebarentaal";"https://corpusvgt.be/";"Flemish Sign Language (VGT)";"140 hrs / 5 TB";"ID-gloss";;"This is a collection of videos in Flemish Sign Language. 120 deaf people contributed to the Corpus VGT as informants. Age, region and gender were taken into account when selecting the informants. The informats were given a series of themes to talk about in pairs: telling a story, making agreements, discussing a theme, telling about their school days, etc. The conversations were recorded on video and edited them for each assignment. ";"Browse";"https://corpusvgt.be/nl/corpussearch";;;
"Content4All";"https://www.cvssp.org/data/c4a-news-corpus/";"Flemish Sign Language (VGT),  Swiss-German Sign Language (DSGS)";"?";"?";"CC BY-NC-SA 4.0";"This is a collection of six datasets recorded and created by the <a href=""https://content4all-project.eu/"">Content4All research project</a>. The datasets are hosted by University of Surrey and are password protected. To request download credentials, please contact <a href=""mailto: r.bowden@surrey.ac.uk"">Richard Bowden</a>.";"Download";"https://www.cvssp.org/data/c4a-news-corpus/";;;
"Corpus LSFB (University of Namur)";"https://www.corpus-lsfb.be/accueil.php";"French Belgian Sign Language (LSFB)";"10 hours";"ID-gloss";"CC BY-NC-ND 4.0 
see: https://www.corpus-lsfb.be/conditions.php ";"This is the first large-scale digital corpus that illustrates the current use of French Belgian Sign Language (LSFB) and all its variations.#SEPIt was first conceived for linguistic research. However, this digital library is an unprecedented tool for teachers, students and interpreters, as well as a safeguard of the linguistic and cultural heritage of the Deaf Community.";;"https://www.corpus-lsfb.be/faq.php#";;;
"Hungarian Sign Language Corpus";;"Hungarian Sign Language";"30 hours (Grammatical Corpus)";"yes";;"The Hungarian Sign Language Corpus is a collection of Hungarian Sign Language (HSL) video data of 147 signers from Hungarian. Overall, 1,750 hours were recorded. The HSL corpus project ran from 2016 to 2017, was based at the Research Institute for Linguistics at the Hungarian Academy of Sciences and led by <a href=""http://www.ieas-szeged.hu/eal/people/bartha-csilla"">Csilla Bartha</a>.";;;"Bartha et al. (2016)";"https://www.researchgate.net/publication/319852526_The_SIGNificant_Chance_Project_and_the_Building_of_the_First_Hungarian_Sign_Language_Corpus";
"Signs of Ireland";;"Irish Sign Language (ISL)";;;;"The Signs of Ireland Corpus is a collection of Irish Sign Language (ISL) video data from 40 signers of Ireland. The project was based at the Trinity College Dublin, took place in 2004 and was led by <a href=""https://www.tcd.ie/slscs/staff/leesonl"">Lorraine Leeson</a>.";;;"Leeson (2011)";"https://www.igi-global.com/chapter/online-delivery-deaf-studies-curricula/46372";
"PJM Corpus";"https://www.plm.uw.edu.pl/projekty/korpus-pjm/ ";"Polish Sign Language (PJM)";;;;"This is a corpus of video data from 150 Deaf native signers of Polish Sign Language (PJM).";;;;;
